Person_Id,Model,negative Loglikelihood,parameters
4,SoC-Full,100.28546877646632,"theta=(1,2), p_gen=0.9, true_prior=0.02"
5,SoC-Full,103.09298195717395,"theta=(1,2), p_gen=0.9, true_prior=0.02"
6,SoC-Full,68.87076058719816,"theta=(1,2), p_gen=0.9, true_prior=0.02"
7,SoC-Full,101.2899921085275,"theta=(1,2), p_gen=0.9, true_prior=0.02"
8,SoC-Full,58.95301799637991,"theta=(1,2), p_gen=0.9, true_prior=0.02"
9,SoC-Full,89.48966405122268,"theta=(1,2), p_gen=0.9, true_prior=0.02"
10,SoC-Full,100.26005906094095,"theta=(1,2), p_gen=0.9, true_prior=0.02"
11,SoC-Full,62.655763886328565,"theta=(1,2), p_gen=0.9, true_prior=0.02"
12,SoC-Full,78.84168623174924,"theta=(1,2), p_gen=0.9, true_prior=0.02"
13,SoC-Full,100.98162800749625,"theta=(1,2), p_gen=0.9, true_prior=0.02"
14,SoC-Full,57.43612606967436,"theta=(1,2), p_gen=0.9, true_prior=0.02"
15,SoC-Full,76.80969894420531,"theta=(1,2), p_gen=0.9, true_prior=0.02"
16,SoC-Full,98.63310581931519,"theta=(1,2), p_gen=0.9, true_prior=0.02"
17,SoC-Full,96.51725880340857,"theta=(1,2), p_gen=0.9, true_prior=0.02"
18,SoC-Full,98.38834879158044,"theta=(1,2), p_gen=0.9, true_prior=0.02"
19,SoC-Full,101.40544225427261,"theta=(1,2), p_gen=0.9, true_prior=0.02"
20,SoC-Full,101.22284308111915,"theta=(1,2), p_gen=0.9, true_prior=0.02"
21,SoC-Full,100.39669441157653,"theta=(1,2), p_gen=0.9, true_prior=0.02"
22,SoC-Full,43.730001286798505,"theta=(1,2), p_gen=0.9, true_prior=0.02"
23,SoC-Full,86.61503346361391,"theta=(1,2), p_gen=0.9, true_prior=0.02"
