profile,value,mean_total_nll,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,546.3248926974337,32.62492881104774,482.38003222778013,610.2697531670873,20,11 theta values
p_gen,0.2,499.5087426039774,31.76698275633206,437.24545640156657,561.7720288063882,20,11 theta values
p_gen,0.3,362.6181283527613,23.096800005994133,317.3484003410128,407.8878563645098,20,11 theta values
p_gen,0.4,304.361412877881,21.660067142742857,261.907681278105,346.815144477657,20,11 theta values
p_gen,0.5,287.9115458813353,23.952121450834866,240.96538783769898,334.85770392497164,20,11 theta values
p_gen,0.6,320.99953083805184,24.38024585221408,273.21424896771225,368.7848127083914,20,11 theta values
p_gen,0.7,246.7827671808447,21.516457358749907,204.6105107576949,288.9550236039945,20,11 theta values
p_gen,0.8,253.7043636730682,21.310283343566297,211.93620831967826,295.47251902645814,20,11 theta values
p_gen,0.9,214.51358087239632,17.680219399438354,179.86035084949714,249.1668108952955,20,11 theta values
theta,"(1,1)",127.79879398231314,6.30434221328996,115.44228324426481,140.15530472036147,20,9 p_gen values
theta,"(1,2)",110.59292390512239,4.910006114757068,100.96931192019854,120.21653589004625,20,9 p_gen values
theta,"(1,3)",104.66385235216542,4.947494567719952,94.96676299943431,114.36094170489653,20,9 p_gen values
theta,"(2,1)",150.85319859413116,7.4171926491726,136.31550100175286,165.39089618650945,20,9 p_gen values
theta,"(3,1)",155.54179126287832,7.418840111712828,141.00086464392118,170.08271788183546,20,9 p_gen values
theta,"(4,1)",323.4328515011117,20.820191534301543,282.6252760938807,364.2404269083427,20,9 p_gen values
theta,"(5,1)",284.1369422962888,15.381432788077719,253.98933403165645,314.2845505609211,20,9 p_gen values
theta,"(6,1)",361.3554007432379,25.461536101798885,311.45078998371207,411.26001150276375,20,9 p_gen values
theta,"(9,1)",554.0060128244455,44.97081277391632,465.8632197875695,642.1488058613215,20,9 p_gen values
theta,"(15,1)",766.9357647541776,64.56816783142759,640.3821558045795,893.4893737037758,20,9 p_gen values
theta,"(19,1)",772.2352027569334,65.50393478122923,643.8474905857241,900.6229149281427,20,9 p_gen values
