Person_Id,Model,negative Loglikelihood,k,AIC,parameters
4,SoC-Full,100.28546877646632,2,204.57093755293263,"theta=(1,2), p_gen=0.9, true_prior=0.02"
5,SoC-Full,103.09298195717395,2,210.1859639143479,"theta=(1,2), p_gen=0.9, true_prior=0.02"
6,SoC-Full,68.87076058719816,2,141.74152117439633,"theta=(1,2), p_gen=0.9, true_prior=0.02"
7,SoC-Full,101.2899921085275,2,206.579984217055,"theta=(1,2), p_gen=0.9, true_prior=0.02"
8,SoC-Full,58.95301799637991,2,121.90603599275983,"theta=(1,2), p_gen=0.9, true_prior=0.02"
9,SoC-Full,89.48966405122268,2,182.97932810244535,"theta=(1,2), p_gen=0.9, true_prior=0.02"
10,SoC-Full,100.26005906094095,2,204.5201181218819,"theta=(1,2), p_gen=0.9, true_prior=0.02"
11,SoC-Full,62.655763886328565,2,129.31152777265714,"theta=(1,2), p_gen=0.9, true_prior=0.02"
12,SoC-Full,78.84168623174924,2,161.68337246349847,"theta=(1,2), p_gen=0.9, true_prior=0.02"
13,SoC-Full,100.98162800749625,2,205.9632560149925,"theta=(1,2), p_gen=0.9, true_prior=0.02"
14,SoC-Full,57.43612606967436,2,118.87225213934872,"theta=(1,2), p_gen=0.9, true_prior=0.02"
15,SoC-Full,76.80969894420531,2,157.61939788841062,"theta=(1,2), p_gen=0.9, true_prior=0.02"
16,SoC-Full,98.63310581931519,2,201.26621163863038,"theta=(1,2), p_gen=0.9, true_prior=0.02"
17,SoC-Full,96.51725880340857,2,197.03451760681713,"theta=(1,2), p_gen=0.9, true_prior=0.02"
18,SoC-Full,98.38834879158044,2,200.77669758316088,"theta=(1,2), p_gen=0.9, true_prior=0.02"
19,SoC-Full,101.40544225427261,2,206.81088450854523,"theta=(1,2), p_gen=0.9, true_prior=0.02"
20,SoC-Full,101.22284308111915,2,206.4456861622383,"theta=(1,2), p_gen=0.9, true_prior=0.02"
21,SoC-Full,100.39669441157653,2,204.79338882315307,"theta=(1,2), p_gen=0.9, true_prior=0.02"
22,SoC-Full,43.730001286798505,2,91.46000257359701,"theta=(1,2), p_gen=0.9, true_prior=0.02"
23,SoC-Full,86.61503346361391,2,177.23006692722782,"theta=(1,2), p_gen=0.9, true_prior=0.02"
