theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(1,1)",0.1,0.02,154.7824058873229,20,1194,2.5926701153655425,1,311.5648117746458
"(1,1)",0.2,0.02,119.18737432189576,20,1194,1.9964384308525251,2,242.37474864379152
"(1,1)",0.3,0.02,136.3075972565232,20,1194,2.2832093342801207,2,276.6151945130464
"(1,1)",0.4,0.02,120.01878320592616,20,1194,2.0103648778212087,2,244.0375664118523
"(1,1)",0.5,0.02,160.92795010168976,20,1194,2.695610554467165,2,325.8559002033795
"(1,1)",0.6,0.02,136.71994315615467,20,1194,2.29011630077311,2,277.43988631230934
"(1,1)",0.7,0.02,120.54385917343271,20,1194,2.0191601201580016,2,245.08771834686542
"(1,1)",0.8,0.02,99.17626190323065,20,1194,1.6612439179770628,2,202.3525238064613
"(1,1)",0.9,0.02,102.52497083464229,20,1194,1.7173361948851307,2,209.04994166928458
"(1,2)",0.1,0.02,140.7616946874008,20,1194,2.3578173314472495,1,283.5233893748016
"(1,2)",0.2,0.02,104.84697310054496,20,1194,1.756230705201758,2,213.69394620108991
"(1,2)",0.3,0.02,109.76787453235818,20,1194,1.8386578648636211,2,223.53574906471636
"(1,2)",0.4,0.02,110.60494767899308,20,1194,1.8526791906028992,2,225.20989535798617
"(1,2)",0.5,0.02,131.64752340469704,20,1194,2.2051511458073207,2,267.2950468093941
"(1,2)",0.6,0.02,109.84128983773023,20,1194,1.8398876019720307,2,223.68257967546046
"(1,2)",0.7,0.02,104.34978465103238,20,1194,1.7479025904695542,2,212.69956930206476
"(1,2)",0.8,0.02,97.22244847389246,20,1194,1.62851672485582,2,198.4448969477849
"(1,2)",0.9,0.02,86.29377877945241,20,1194,1.4454569309791023,2,176.58755755890482
"(1,3)",0.1,0.02,153.4166750627604,20,1194,2.56979355214004,1,308.8333501255208
"(1,3)",0.2,0.02,110.39623154702954,20,1194,1.8491831079904446,2,224.7924630940591
"(1,3)",0.3,0.02,97.79956692792936,20,1194,1.6381837006353326,2,199.59913385585872
"(1,3)",0.4,0.02,92.98727038533833,20,1194,1.5575757183473757,2,189.97454077067667
"(1,3)",0.5,0.02,109.32256694078708,20,1194,1.8311987762275892,2,222.64513388157417
"(1,3)",0.6,0.02,87.20236940252913,20,1194,1.4606762043974728,2,178.40473880505826
"(1,3)",0.7,0.02,105.4404884538433,20,1194,1.766172335910273,2,214.8809769076866
"(1,3)",0.8,0.02,94.84274369934845,20,1194,1.5886556733559203,2,193.6854873986969
"(1,3)",0.9,0.02,90.56675874992325,20,1194,1.5170311348395853,2,185.1335174998465
"(2,1)",0.1,0.02,195.07147730064435,20,1194,3.267528933009118,1,392.1429546012887
"(2,1)",0.2,0.02,163.8134919838203,20,1194,2.743944589343724,2,331.6269839676406
"(2,1)",0.3,0.02,164.6168776598393,20,1194,2.757401635843204,2,333.2337553196786
"(2,1)",0.4,0.02,167.33190355444643,20,1194,2.8028794565233905,2,338.66380710889285
"(2,1)",0.5,0.02,165.51803330448203,20,1194,2.7724963702593306,2,335.03606660896406
"(2,1)",0.6,0.02,115.26238361241192,20,1194,1.9306931928377207,2,234.52476722482385
"(2,1)",0.7,0.02,144.01480299119484,20,1194,2.412308257808959,2,292.0296059823897
"(2,1)",0.8,0.02,115.66977471488062,20,1194,1.9375171644033604,2,235.33954942976123
"(2,1)",0.9,0.02,126.3800422254606,20,1194,2.116918630242221,2,256.7600844509212
"(3,1)",0.1,0.02,187.9915385038644,20,1194,3.148936993364563,1,377.9830770077288
"(3,1)",0.2,0.02,205.786531290921,20,1194,3.4470105743872863,2,415.573062581842
"(3,1)",0.3,0.02,179.2024858212717,20,1194,3.0017166804233115,2,362.4049716425434
"(3,1)",0.4,0.02,196.67117093143366,20,1194,3.294324471213294,2,397.34234186286733
"(3,1)",0.5,0.02,135.43553486828063,20,1194,2.268601924091803,2,274.87106973656125
"(3,1)",0.6,0.02,133.78410558862566,20,1194,2.2409397921042826,2,271.5682111772513
"(3,1)",0.7,0.02,112.91905841429791,20,1194,1.891441514477352,2,229.83811682859582
"(3,1)",0.8,0.02,128.51731974411484,20,1194,2.152718923687016,2,261.0346394882297
"(3,1)",0.9,0.02,119.56837620309523,20,1194,2.002820371911143,2,243.13675240619045
"(4,1)",0.1,0.02,900.5649160816204,20,1194,15.084839465353774,1,1803.1298321632407
"(4,1)",0.2,0.02,825.109181681249,20,1194,13.820924316268828,2,1654.218363362498
"(4,1)",0.3,0.02,223.56194779984372,20,1194,3.744756244553496,2,451.12389559968744
"(4,1)",0.4,0.02,213.61345928563452,20,1194,3.5781148959067757,2,431.22691857126904
"(4,1)",0.5,0.02,175.9500489038873,20,1194,2.947237000065114,2,355.9000978077746
"(4,1)",0.6,0.02,153.43666610903568,20,1194,2.570128410536611,2,310.87333221807137
"(4,1)",0.7,0.02,153.5324615262935,20,1194,2.5717330238910137,2,311.064923052587
"(4,1)",0.8,0.02,115.9302814133619,20,1194,1.9418807606928292,2,235.8605628267238
"(4,1)",0.9,0.02,149.19670070907918,20,1194,2.4991072145574402,2,302.39340141815836
"(5,1)",0.1,0.02,1010.1680432971483,20,1194,16.920737743670827,1,2022.3360865942966
"(5,1)",0.2,0.02,282.4855274950777,20,1194,4.731750879314534,2,568.9710549901554
"(5,1)",0.3,0.02,232.68703126700206,20,1194,3.897605213852631,2,469.3740625340041
"(5,1)",0.4,0.02,195.82614659863125,20,1194,3.280169959776068,2,395.6522931972625
"(5,1)",0.5,0.02,174.70012397754937,20,1194,2.9263002341298052,2,353.40024795509873
"(5,1)",0.6,0.02,200.7583442709193,20,1194,3.3627863361963035,2,405.5166885418386
"(5,1)",0.7,0.02,181.98159279533857,20,1194,3.0482678860190715,2,367.96318559067714
"(5,1)",0.8,0.02,135.19703346925257,20,1194,2.2646069257831254,2,274.39406693850515
"(5,1)",0.9,0.02,143.42863749568068,20,1194,2.4024897402961587,2,290.85727499136135
"(6,1)",0.1,0.02,961.206571401531,20,1194,16.100612586290303,1,1924.413142803062
"(6,1)",0.2,0.02,857.9712753189409,20,1194,14.371378146045911,2,1719.9425506378818
"(6,1)",0.3,0.02,214.94982403664784,20,1194,3.600499565102979,2,433.8996480732957
"(6,1)",0.4,0.02,212.55175066177577,20,1194,3.5603308318555404,2,429.10350132355154
"(6,1)",0.5,0.02,338.04697427255945,20,1194,5.662428379774865,2,680.0939485451189
"(6,1)",0.6,0.02,205.46040360304747,20,1194,3.4415477990460213,2,414.92080720609493
"(6,1)",0.7,0.02,165.4051730355866,20,1194,2.770605913493913,2,334.8103460711732
"(6,1)",0.8,0.02,157.97135967769378,20,1194,2.6460864267620403,2,319.94271935538757
"(6,1)",0.9,0.02,138.63527468135825,20,1194,2.322198905885398,2,281.2705493627165
"(9,1)",0.1,0.02,324.5479906325873,20,1194,5.436314750964611,1,651.0959812651746
"(9,1)",0.2,0.02,943.7502375726492,20,1194,15.808211684633989,2,1891.5004751452984
"(9,1)",0.3,0.02,1004.0672590130538,20,1194,16.818547052144954,2,2012.1345180261076
"(9,1)",0.4,0.02,441.6050220138648,20,1194,7.397069045458372,2,887.2100440277296
"(9,1)",0.5,0.02,365.96921085337715,20,1194,6.130137535232448,2,735.9384217067543
"(9,1)",0.6,0.02,807.0786331180524,20,1194,13.518905077354312,2,1618.1572662361048
"(9,1)",0.7,0.02,393.5109927968102,20,1194,6.591473916194476,2,791.0219855936205
"(9,1)",0.8,0.02,510.9451571423725,20,1194,8.558545345768383,2,1025.890314284745
"(9,1)",0.9,0.02,194.57961227724257,20,1194,3.259289987893511,2,393.15922455448515
"(15,1)",0.1,0.02,1030.3870048492465,20,1194,17.259413816570294,1,2062.774009698493
"(15,1)",0.2,0.02,926.4707204233591,20,1194,15.518772536404676,2,1856.9414408467183
"(15,1)",0.3,0.02,894.3456610471983,20,1194,14.980664339149051,2,1792.6913220943966
"(15,1)",0.4,0.02,863.7341280467856,20,1194,14.46790834249222,2,1731.4682560935712
"(15,1)",0.5,0.02,674.0223955840659,20,1194,11.290157379967603,2,1352.0447911681317
"(15,1)",0.6,0.02,775.2571023443695,20,1194,12.985881111295972,2,1554.514204688739
"(15,1)",0.7,0.02,527.9249975270286,20,1194,8.842964782697297,2,1059.8499950540572
"(15,1)",0.8,0.02,624.3794520363002,20,1194,10.458617287040205,2,1252.7589040726004
"(15,1)",0.9,0.02,585.9004209292441,20,1194,9.814077402499901,2,1175.8008418584882
"(19,1)",0.1,0.02,950.6755019676442,20,1194,15.924212763277122,0,1901.3510039352884
"(19,1)",0.2,0.02,954.7786239082634,20,1194,15.992941774007763,1,1911.5572478165268
"(19,1)",0.3,0.02,731.4932865187068,20,1194,12.25281886966008,1,1464.9865730374136
"(19,1)",0.4,0.02,733.0309592938623,20,1194,12.278575532560508,1,1468.0619185877247
"(19,1)",0.5,0.02,735.4866424833127,20,1194,12.319709254326845,1,1472.9732849666254
"(19,1)",0.6,0.02,806.1935981756945,20,1194,13.50408037145217,1,1614.387196351389
"(19,1)",0.7,0.02,704.987227624433,20,1194,11.80883128349134,1,1411.974455248866
"(19,1)",0.8,0.02,710.8961681293027,20,1194,11.907808511378605,1,1423.7923362586055
"(19,1)",0.9,0.02,622.5748167111811,20,1194,10.428388889634524,1,1247.1496334223623
