theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(1,1)",0.1,0.02,118.01924981861343,20,149,15.841510042766904,1,238.03849963722686
"(1,1)",0.2,0.02,41.6556212743858,20,149,5.591358560320241,2,87.3112425487716
"(1,1)",0.6,0.02,49.31302072448122,20,149,6.619197412682043,2,102.62604144896244
"(1,1)",0.8,0.02,54.6782434572943,20,149,7.339361537891852,2,113.3564869145886
"(2,1)",0.1,0.02,68.45389675402035,20,149,9.188442517318169,1,138.9077935080407
"(2,1)",0.2,0.02,57.97393061177526,20,149,7.781735652587282,2,119.94786122355052
"(2,1)",0.6,0.02,41.25596112333659,20,149,5.537712902461287,2,86.51192224667318
"(2,1)",0.8,0.02,56.894375197629316,20,149,7.6368288855878275,2,117.78875039525863
"(3,1)",0.1,0.02,88.15982362120705,20,149,11.833533371974102,1,178.3196472424141
"(3,1)",0.2,0.02,46.17114595571361,20,149,6.197469255800486,2,96.34229191142722
"(3,1)",0.6,0.02,49.21280301663246,20,149,6.6057453713600625,2,102.42560603326493
"(3,1)",0.8,0.02,32.65991521164123,20,149,4.383881236461909,2,69.31983042328245
"(19,1)",0.1,0.02,23.466785419880615,20,149,3.149904083205452,0,46.93357083976123
"(19,1)",0.2,0.02,27.132864225500633,20,149,3.6419951980537766,1,56.265728451001266
"(19,1)",0.6,0.02,39.89668837714189,20,149,5.355260184851261,1,81.79337675428378
"(19,1)",0.8,0.02,45.965399532725854,20,149,6.169852286271927,1,93.93079906545171
