Person_Id,Model,negative Loglikelihood,k,AIC,parameters
1,SoC-Full,15.300988498022711,2,34.60197699604542,"theta=(3,1), p_gen=0.8, true_prior=0.02"
2,SoC-Lesioned,9.247587165151986,0,18.49517433030397,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Lesioned,18.70039464675497,0,37.40078929350994,"theta=(19,1), p_gen=0.1, true_prior=0.02"
4,SoC-Lesioned,17.4476316782596,0,34.8952633565192,"theta=(19,1), p_gen=0.1, true_prior=0.02"
5,SoC-Full,14.42551976066881,2,32.85103952133762,"theta=(3,1), p_gen=0.8, true_prior=0.02"
6,SoC-Gen,15.814796167611462,1,33.629592335222924,"theta=(19,1), p_gen=0.2, true_prior=0.02"
7,SoC-Gen,15.814796167611462,1,33.629592335222924,"theta=(19,1), p_gen=0.2, true_prior=0.02"
8,SoC-Full,77.6566213849557,2,159.3132427699114,"theta=(3,1), p_gen=0.8, true_prior=0.02"
9,SoC-Lesioned,7.5392093048629825,0,15.078418609725965,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,11.893560566609919,0,23.787121133219838,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Full,15.409644437630334,2,34.81928887526067,"theta=(3,1), p_gen=0.8, true_prior=0.02"
12,SoC-Lesioned,15.660326559380927,0,31.320653118761854,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Lesioned,17.4476316782596,0,34.8952633565192,"theta=(19,1), p_gen=0.1, true_prior=0.02"
14,SoC-Lesioned,14.86094233416166,0,29.72188466832332,"theta=(19,1), p_gen=0.1, true_prior=0.02"
15,SoC-Lesioned,15.660326559380927,0,31.320653118761854,"theta=(19,1), p_gen=0.1, true_prior=0.02"
16,SoC-Gen,15.814796167611462,1,33.629592335222924,"theta=(19,1), p_gen=0.2, true_prior=0.02"
17,SoC-Lesioned,17.4476316782596,0,34.8952633565192,"theta=(19,1), p_gen=0.1, true_prior=0.02"
18,SoC-Lesioned,21.002979739749016,0,42.00595947949803,"theta=(19,1), p_gen=0.1, true_prior=0.02"
19,SoC-Lesioned,17.4476316782596,0,34.8952633565192,"theta=(19,1), p_gen=0.1, true_prior=0.02"
20,SoC-Lesioned,14.86094233416166,0,29.72188466832332,"theta=(19,1), p_gen=0.1, true_prior=0.02"
