theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(1,1)",0.1,0.02,90.17966835192304,20,270,6.679975433475781,1,182.35933670384608
"(1,1)",0.2,0.02,30.404585788885196,20,270,2.252191539917422,2,64.8091715777704
"(1,1)",0.6,0.02,34.10848323763117,20,270,2.526554313898605,2,72.21696647526234
"(1,1)",0.8,0.02,43.56466476916521,20,270,3.2270122051233487,2,91.12932953833042
"(2,1)",0.1,0.02,41.912665893078994,20,270,3.1046419180058513,1,85.82533178615799
"(2,1)",0.2,0.02,33.02990996138645,20,270,2.4466599971397374,2,70.0598199227729
"(2,1)",0.6,0.02,31.640798312496752,20,270,2.3437628379627222,2,67.28159662499351
"(2,1)",0.8,0.02,40.30131090731042,20,270,2.9852822894304016,2,84.60262181462085
"(3,1)",0.1,0.02,53.287913685536694,20,270,3.9472528655953107,1,108.57582737107339
"(3,1)",0.2,0.02,25.747234951612295,20,270,1.9072025890083182,2,55.49446990322459
"(3,1)",0.6,0.02,33.57328389504472,20,270,2.4869099181514605,2,71.14656779008943
"(3,1)",0.8,0.02,23.813325987121782,20,270,1.763950073120132,2,51.626651974243565
"(19,1)",0.1,0.02,27.827421585542687,20,270,2.0612904878179767,0,55.654843171085375
"(19,1)",0.2,0.02,23.037252493017817,20,270,1.7064631476309495,1,48.074504986035635
"(19,1)",0.6,0.02,26.89638563220155,20,270,1.9923248616445592,1,55.7927712644031
"(19,1)",0.8,0.02,29.673553618390606,20,270,2.1980410087696742,1,61.34710723678121
