Person_Id,Model,negative Loglikelihood,k,AIC,parameters
1,SoC-Gen,20.652131263012144,1,43.30426252602429,"theta=(19,1), p_gen=0.2, true_prior=0.02"
2,SoC-Lesioned,17.4476316782596,0,34.8952633565192,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Full,21.285316207745183,2,46.570632415490365,"theta=(3,1), p_gen=0.8, true_prior=0.02"
4,SoC-Full,21.66329224973566,2,47.32658449947132,"theta=(3,1), p_gen=0.8, true_prior=0.02"
5,SoC-Lesioned,12.506665039496328,0,25.013330078992656,"theta=(19,1), p_gen=0.1, true_prior=0.02"
6,SoC-Lesioned,17.754156838512863,0,35.508313677025725,"theta=(19,1), p_gen=0.1, true_prior=0.02"
7,SoC-Gen,20.731518896526442,1,43.463037793052884,"theta=(19,1), p_gen=0.2, true_prior=0.02"
8,SoC-Full,24.925411289880675,2,53.85082257976135,"theta=(3,1), p_gen=0.8, true_prior=0.02"
9,SoC-Gen,14.675944675252689,1,31.351889350505378,"theta=(19,1), p_gen=0.2, true_prior=0.02"
10,SoC-Lesioned,16.215313078932688,0,32.430626157865376,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Lesioned,15.075878795744323,0,30.151757591488646,"theta=(19,1), p_gen=0.1, true_prior=0.02"
12,SoC-Lesioned,19.00691980700823,0,38.01383961401646,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Rel,12.29827072928938,1,26.59654145857876,"theta=(2,1), p_gen=0.1, true_prior=0.02"
14,SoC-Gen,18.862450413129345,1,39.72490082625869,"theta=(19,1), p_gen=0.2, true_prior=0.02"
15,SoC-Gen,21.474486256933638,1,44.948972513867275,"theta=(19,1), p_gen=0.2, true_prior=0.02"
16,SoC-Lesioned,7.955603483503337,0,15.911206967006674,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Lesioned,22.458266972355858,0,44.916533944711716,"theta=(19,1), p_gen=0.1, true_prior=0.02"
18,SoC-Gen,25.461969200726276,1,52.92393840145255,"theta=(19,1), p_gen=0.2, true_prior=0.02"
19,SoC-Lesioned,19.428133272084533,0,38.85626654416907,"theta=(19,1), p_gen=0.1, true_prior=0.02"
20,SoC-Rel,14.486154453164449,1,30.972308906328898,"theta=(2,1), p_gen=0.1, true_prior=0.02"
