Person_Id,Model,negative Loglikelihood,k,AIC,parameters
1,SoC-Gen,16.268097947239266,1,34.53619589447853,"theta=(19,1), p_gen=0.4, true_prior=0.02"
2,SoC-Lesioned,9.247587165151986,0,18.49517433030397,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Gen,14.965279308276696,1,31.93055861655339,"theta=(19,1), p_gen=0.4, true_prior=0.02"
4,SoC-Gen,13.93565989109554,1,29.87131978219108,"theta=(19,1), p_gen=0.4, true_prior=0.02"
5,SoC-Gen,15.308322103425372,1,32.616644206850744,"theta=(19,1), p_gen=0.4, true_prior=0.02"
6,SoC-Lesioned,18.59503413109714,0,37.19006826219428,"theta=(19,1), p_gen=0.1, true_prior=0.02"
7,SoC-Lesioned,18.59503413109714,0,37.19006826219428,"theta=(19,1), p_gen=0.1, true_prior=0.02"
8,SoC-Full,22.748219193342173,2,49.496438386684346,"theta=(1,3), p_gen=0.7, true_prior=0.02"
9,SoC-Lesioned,7.5392093048629825,0,15.078418609725965,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,11.893560566609919,0,23.787121133219838,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Full,13.893869475964092,2,31.787738951928183,"theta=(1,3), p_gen=0.7, true_prior=0.02"
12,SoC-Gen,14.533496891851161,1,31.066993783702323,"theta=(19,1), p_gen=0.4, true_prior=0.02"
13,SoC-Gen,13.93565989109554,1,29.87131978219108,"theta=(19,1), p_gen=0.4, true_prior=0.02"
14,SoC-Gen,13.77531724102036,1,29.55063448204072,"theta=(19,1), p_gen=0.4, true_prior=0.02"
15,SoC-Gen,14.533496891851161,1,31.066993783702323,"theta=(19,1), p_gen=0.4, true_prior=0.02"
16,SoC-Lesioned,18.59503413109714,0,37.19006826219428,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Gen,13.93565989109554,1,29.87131978219108,"theta=(19,1), p_gen=0.4, true_prior=0.02"
18,SoC-Gen,18.771941798047017,1,39.543883596094034,"theta=(19,1), p_gen=0.4, true_prior=0.02"
19,SoC-Gen,13.93565989109554,1,29.87131978219108,"theta=(19,1), p_gen=0.4, true_prior=0.02"
20,SoC-Gen,13.77531724102036,1,29.55063448204072,"theta=(19,1), p_gen=0.4, true_prior=0.02"
