run_id,theta,p_gen,total_nll,num_trials,k,aic
1,"(15,1)",0.1,42.46498803052829,8,1,86.92997606105658
2,"(15,1)",0.1,10.58489608065942,8,1,23.16979216131884
3,"(15,1)",0.1,61.98747595404528,7,1,125.97495190809056
4,"(15,1)",0.1,41.16889993729454,7,1,84.33779987458908
5,"(15,1)",0.1,39.59330840564427,8,1,81.18661681128854
6,"(15,1)",0.1,96.01542672518998,6,1,194.03085345037996
7,"(15,1)",0.1,96.01542672518998,6,1,194.03085345037996
8,"(15,1)",0.1,138.15510557964274,6,1,278.3102111592855
9,"(15,1)",0.1,7.515390712445487,9,1,17.030781424890975
10,"(15,1)",0.1,13.497952107489882,9,1,28.995904214979763
11,"(15,1)",0.1,38.08502932201431,11,1,78.17005864402861
12,"(15,1)",0.1,19.439137100587825,8,1,40.87827420117565
13,"(15,1)",0.1,41.16889993729454,7,1,84.33779987458908
14,"(15,1)",0.1,37.27707963918392,7,1,76.55415927836783
15,"(15,1)",0.1,19.439137100587825,8,1,40.87827420117565
16,"(15,1)",0.1,96.01542672518998,6,1,194.03085345037996
17,"(15,1)",0.1,41.16889993729454,7,1,84.33779987458908
18,"(15,1)",0.1,100.62059691117807,7,1,203.24119382235614
19,"(15,1)",0.1,41.16889993729454,7,1,84.33779987458908
20,"(15,1)",0.1,37.27707963918392,7,1,76.55415927836783
1,"(15,1)",0.2,40.69282387356453,8,2,85.38564774712906
2,"(15,1)",0.2,32.340261897878705,8,2,68.68052379575741
3,"(15,1)",0.2,38.03558200078798,7,2,80.07116400157597
4,"(15,1)",0.2,36.21103270873694,7,2,76.42206541747387
5,"(15,1)",0.2,39.2459048906282,8,2,82.4918097812564
6,"(15,1)",0.2,54.74146431664843,6,2,113.48292863329686
7,"(15,1)",0.2,54.74146431664843,6,2,113.48292863329686
8,"(15,1)",0.2,119.73442483569039,6,2,243.46884967138078
9,"(15,1)",0.2,9.923676664517494,9,2,23.847353329034988
10,"(15,1)",0.2,12.2341998071324,9,2,28.4683996142648
11,"(15,1)",0.2,17.033481332381715,11,2,38.06696266476343
12,"(15,1)",0.2,36.09770402342994,8,2,76.19540804685988
13,"(15,1)",0.2,36.21103270873694,7,2,76.42206541747387
14,"(15,1)",0.2,34.62540544499656,7,2,73.25081088999312
15,"(15,1)",0.2,36.09770402342994,8,2,76.19540804685988
16,"(15,1)",0.2,54.74146431664843,6,2,113.48292863329686
17,"(15,1)",0.2,36.21103270873694,7,2,76.42206541747387
18,"(15,1)",0.2,59.34663450263652,7,2,122.69326900527304
19,"(15,1)",0.2,36.21103270873694,7,2,76.42206541747387
20,"(15,1)",0.2,34.62540544499656,7,2,73.25081088999312
1,"(15,1)",0.3,18.44383781109632,8,2,40.88767562219264
2,"(15,1)",0.3,12.847051175438676,8,2,29.69410235087735
3,"(15,1)",0.3,33.247192793283375,7,2,70.49438558656675
4,"(15,1)",0.3,32.07447253246154,7,2,68.14894506492308
5,"(15,1)",0.3,17.426903553442475,8,2,38.85380710688495
6,"(15,1)",0.3,51.569893128875535,6,2,107.13978625775107
7,"(15,1)",0.3,51.569893128875535,6,2,107.13978625775107
8,"(15,1)",0.3,119.04127765513044,6,2,242.0825553102609
9,"(15,1)",0.3,11.448050163049672,9,2,26.896100326099344
10,"(15,1)",0.3,12.136082242942848,9,2,28.272164485885696
11,"(15,1)",0.3,16.468553832441458,11,2,36.937107664882916
12,"(15,1)",0.3,14.552017512985692,8,2,33.104035025971385
13,"(15,1)",0.3,32.07447253246154,7,2,68.14894506492308
14,"(15,1)",0.3,31.45543332405532,7,2,66.91086664811064
15,"(15,1)",0.3,14.552017512985692,8,2,33.104035025971385
16,"(15,1)",0.3,51.569893128875535,6,2,107.13978625775107
17,"(15,1)",0.3,32.07447253246154,7,2,68.14894506492308
18,"(15,1)",0.3,55.076451026195514,7,2,114.15290205239103
19,"(15,1)",0.3,32.07447253246154,7,2,68.14894506492308
20,"(15,1)",0.3,31.45543332405532,7,2,66.91086664811064
1,"(15,1)",0.4,13.867631667738557,8,2,31.735263335477114
2,"(15,1)",0.4,12.907398538523953,8,2,29.814797077047906
3,"(15,1)",0.4,31.04747801406083,7,2,66.09495602812166
4,"(15,1)",0.4,30.354330833500885,7,2,64.70866166700176
5,"(15,1)",0.4,13.807007045922123,8,2,31.614014091844247
6,"(15,1)",0.4,31.517481643306567,6,2,67.03496328661313
7,"(15,1)",0.4,31.517481643306567,6,2,67.03496328661313
8,"(15,1)",0.4,97.84800818893828,6,2,199.69601637787656
9,"(15,1)",0.4,13.255863348058526,9,2,30.51172669611705
10,"(15,1)",0.4,12.497243778853166,9,2,28.994487557706332
11,"(15,1)",0.4,14.760430932286733,11,2,33.52086186457346
12,"(15,1)",0.4,12.209403591135025,8,2,28.41880718227005
13,"(15,1)",0.4,30.354330833500885,7,2,64.70866166700176
14,"(15,1)",0.4,30.7182962107023,7,2,65.4365924214046
