Person_Id,Model,negative Loglikelihood,parameters
1,SoC-Gen,34.591119714065556,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2,SoC-Lesioned,11.241830244925653,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Lesioned,24.635288842374553,"theta=(19,1), p_gen=0.1, true_prior=0.02"
4,SoC-Lesioned,22.237393569576184,"theta=(19,1), p_gen=0.1, true_prior=0.02"
5,SoC-Gen,33.81096115651598,"theta=(19,1), p_gen=0.7, true_prior=0.02"
6,SoC-Gen,53.83053552791566,"theta=(19,1), p_gen=0.7, true_prior=0.02"
7,SoC-Gen,53.83053552791566,"theta=(19,1), p_gen=0.7, true_prior=0.02"
8,SoC-Gen,95.92011654538565,"theta=(19,1), p_gen=0.7, true_prior=0.02"
9,SoC-Lesioned,8.51290846933836,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,13.770403841366138,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Gen,16.000109986232594,"theta=(19,1), p_gen=0.7, true_prior=0.02"
12,SoC-Lesioned,18.627557322802705,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Lesioned,22.237393569576184,"theta=(19,1), p_gen=0.1, true_prior=0.02"
14,SoC-Lesioned,19.05933973922824,"theta=(19,1), p_gen=0.1, true_prior=0.02"
15,SoC-Lesioned,18.627557322802705,"theta=(19,1), p_gen=0.1, true_prior=0.02"
16,SoC-Gen,53.83053552791566,"theta=(19,1), p_gen=0.7, true_prior=0.02"
17,SoC-Lesioned,22.237393569576184,"theta=(19,1), p_gen=0.1, true_prior=0.02"
18,SoC-Gen,57.7425585333438,"theta=(19,1), p_gen=0.7, true_prior=0.02"
19,SoC-Lesioned,22.237393569576184,"theta=(19,1), p_gen=0.1, true_prior=0.02"
20,SoC-Lesioned,19.05933973922824,"theta=(19,1), p_gen=0.1, true_prior=0.02"
