theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial
"(1,1)",0.1,0.02,113.10861725348711,20,149,15.182364732011694
"(1,1)",0.2,0.02,103.80838317799956,20,149,13.934011164832155
"(1,1)",0.3,0.02,88.13957125451724,20,149,11.830814933492247
"(1,1)",0.4,0.02,57.15007582513137,20,149,7.671151117467297
"(1,1)",0.5,0.02,58.07166139146621,20,149,7.794853878049155
"(1,1)",0.6,0.02,53.72585111946967,20,149,7.211523640197271
"(1,1)",0.7,0.02,38.721762177716776,20,149,5.1975519701633255
"(1,1)",0.8,0.02,57.004572734022034,20,149,7.651620501211011
"(1,1)",0.9,0.02,56.474233203006214,20,149,7.5804339869807
"(1,2)",0.1,0.02,85.49144887095022,20,149,11.475362264557077
"(1,2)",0.2,0.02,137.51745371384715,20,149,18.45871861930834
"(1,2)",0.3,0.02,81.97892124213266,20,149,11.003882045923847
"(1,2)",0.4,0.02,69.65737492144765,20,149,9.349983210932571
"(1,2)",0.5,0.02,71.50633394811715,20,149,9.59816563061975
"(1,2)",0.6,0.02,47.656998863754595,20,149,6.396912599161691
"(1,2)",0.7,0.02,49.81900615908603,20,149,6.6871149206826885
"(1,2)",0.8,0.02,57.35202548565486,20,149,7.6982584544503165
"(1,2)",0.9,0.02,55.03935564820824,20,149,7.387832972913858
"(1,3)",0.1,0.02,139.29666092230013,20,149,18.69753837883223
"(1,3)",0.2,0.02,112.97746120397127,20,149,15.164759893150507
"(1,3)",0.3,0.02,90.18919115691524,20,149,12.105931698914798
"(1,3)",0.4,0.02,85.4889221181148,20,149,11.475023103102657
"(1,3)",0.5,0.02,44.65593804118847,20,149,5.994085643112546
"(1,3)",0.6,0.02,56.303907665460926,20,149,7.557571498719588
"(1,3)",0.7,0.02,60.496783323620434,20,149,8.120373600485964
"(1,3)",0.8,0.02,41.77057648694366,20,149,5.6067887901937805
"(1,3)",0.9,0.02,46.77957535596988,20,149,6.27913763167381
"(2,1)",0.1,0.02,43.711758482798665,20,149,5.8673501319192845
"(2,1)",0.2,0.02,68.9488601288895,20,149,9.254880554213358
"(2,1)",0.3,0.02,47.4903856285111,20,149,6.374548406511557
"(2,1)",0.4,0.02,39.191803224110906,20,149,5.260644728068578
"(2,1)",0.5,0.02,40.606538963360755,20,149,5.450542142732987
"(2,1)",0.6,0.02,41.758067067764706,20,149,5.6051096735254635
"(2,1)",0.7,0.02,47.93247723460135,20,149,6.433889561691457
"(2,1)",0.8,0.02,47.66816309753601,20,149,6.398411154031678
"(2,1)",0.9,0.02,52.0204879003869,20,149,6.982615825555288
"(3,1)",0.1,0.02,52.95173733320654,20,149,7.1076157494236964
"(3,1)",0.2,0.02,51.21426082173248,20,149,6.874397425735903
"(3,1)",0.3,0.02,48.207410890478855,20,149,6.470793408117967
"(3,1)",0.4,0.02,25.921288195573624,20,149,3.4793675430300164
"(3,1)",0.5,0.02,20.97951679765102,20,149,2.8160425231746333
"(3,1)",0.6,0.02,35.52457616222868,20,149,4.768399484862911
"(3,1)",0.7,0.02,38.367631635201974,20,149,5.150017669154628
"(3,1)",0.8,0.02,53.32317012025085,20,149,7.15747249936253
"(3,1)",0.9,0.02,28.286554493524143,20,149,3.7968529521508914
"(4,1)",0.1,0.02,84.3861785450041,20,149,11.327003831544175
"(4,1)",0.2,0.02,32.561866688577375,20,149,4.370720360882869
"(4,1)",0.3,0.02,33.03611163480725,20,149,4.434377400645268
"(4,1)",0.4,0.02,32.379020698855186,20,149,4.346177275014119
"(4,1)",0.5,0.02,38.132564067493504,20,149,5.1184649755024845
"(4,1)",0.6,0.02,37.510820516685115,20,149,5.035009465326861
"(4,1)",0.7,0.02,27.772186849179015,20,149,3.727810315326042
"(4,1)",0.8,0.02,56.77432380821388,20,149,7.620714605129379
"(4,1)",0.9,0.02,54.24912356616087,20,149,7.281761552504815
"(5,1)",0.1,0.02,64.64748441003621,20,149,8.677514685910902
"(5,1)",0.2,0.02,41.824354449410215,20,149,5.614007308645666
"(5,1)",0.3,0.02,34.08223056575362,20,149,4.574796049094445
"(5,1)",0.4,0.02,32.84176527687469,20,149,4.4082906411912335
"(5,1)",0.5,0.02,32.81385637294142,20,149,4.404544479589452
"(5,1)",0.6,0.02,34.2103263422865,20,149,4.59199011305859
"(5,1)",0.7,0.02,26.583781468551127,20,149,3.5682928145706208
"(5,1)",0.8,0.02,18.65907543706539,20,149,2.504573884169851
"(5,1)",0.9,0.02,36.10109023999976,20,149,4.845783924832183
"(6,1)",0.1,0.02,50.06787489344664,20,149,6.720520119925723
"(6,1)",0.2,0.02,39.18039811111747,20,149,5.259113840418452
"(6,1)",0.3,0.02,21.55963784196931,20,149,2.893911119727424
"(6,1)",0.4,0.02,17.328198757418882,20,149,2.3259327191166284
"(6,1)",0.5,0.02,44.66282085595568,20,149,5.995009510866534
"(6,1)",0.6,0.02,46.93016657781635,20,149,6.299351218498839
"(6,1)",0.7,0.02,53.85975058375385,20,149,7.229496722651524
"(6,1)",0.8,0.02,51.84704577160536,20,149,6.9593350029000485
"(6,1)",0.9,0.02,42.142210434653194,20,149,5.656672541564188
"(9,1)",0.1,0.02,43.93687751946432,20,149,5.897567452277089
"(9,1)",0.2,0.02,43.16015874707288,20,149,5.793309898935957
"(9,1)",0.3,0.02,28.124227753895077,20,149,3.7750641280396073
"(9,1)",0.4,0.02,33.12237442582328,20,149,4.445956298768225
"(9,1)",0.5,0.02,36.29648661864415,20,149,4.872011626663644
"(9,1)",0.6,0.02,25.57007697819004,20,149,3.43222509774363
"(9,1)",0.7,0.02,34.98348080548841,20,149,4.695769235636029
"(9,1)",0.8,0.02,15.658426833612072,20,149,2.1018022595452446
"(9,1)",0.9,0.02,30.011432102144532,20,149,4.028380147938863
"(15,1)",0.1,0.02,55.949883613147314,20,149,7.5100514916976255
"(15,1)",0.2,0.02,21.7038670687263,20,149,2.9132707474800403
"(15,1)",0.3,0.02,16.569884537925567,20,149,2.2241455755604784
"(15,1)",0.4,0.02,21.151264322397573,20,149,2.839095882201016
"(15,1)",0.5,0.02,31.992346459909196,20,149,4.294274692605262
"(15,1)",0.6,0.02,48.44309928185336,20,149,6.50242943380582
"(15,1)",0.7,0.02,29.250796168867073,20,149,3.9262813649486
"(15,1)",0.8,0.02,20.785008246381288,20,149,2.7899339928028577
"(15,1)",0.9,0.02,45.21919333840753,20,149,6.0696903809943
"(19,1)",0.1,0.02,38.68047202468183,20,149,5.1920096677425285
"(19,1)",0.2,0.02,26.34626457839142,20,149,3.536411352804217
"(19,1)",0.3,0.02,25.257903344529346,20,149,3.3903225965811203
"(19,1)",0.4,0.02,20.348097411651523,20,149,2.731288243174701
"(19,1)",0.5,0.02,40.85422084381531,20,149,5.4837880327268875
"(19,1)",0.6,0.02,31.445342213596387,20,149,4.220851303838441
"(19,1)",0.7,0.02,38.580972610290644,20,149,5.178654041649751
"(19,1)",0.8,0.02,36.82071929031007,20,149,4.94237842822954
"(19,1)",0.9,0.02,47.7682983564842,20,149,6.411852128387141
