Person_Id,Model,negative Loglikelihood,parameters
1,SoC-Full,20.367342232380448,"theta=(5,1), p_gen=0.8, true_prior=0.02"
2,SoC-Lesioned,9.306871222511976,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Lesioned,25.264064763921755,"theta=(19,1), p_gen=0.1, true_prior=0.02"
4,SoC-Lesioned,17.32915980641202,"theta=(19,1), p_gen=0.1, true_prior=0.02"
5,SoC-Rel,16.93849013071198,"theta=(2,1), p_gen=0.1, true_prior=0.02"
6,SoC-Gen,29.585455570631584,"theta=(19,1), p_gen=0.9, true_prior=0.02"
7,SoC-Lesioned,24.06094068962728,"theta=(19,1), p_gen=0.1, true_prior=0.02"
8,SoC-Full,37.215219060547575,"theta=(5,1), p_gen=0.8, true_prior=0.02"
9,SoC-Lesioned,24.763273234014676,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Gen,39.922941839011074,"theta=(19,1), p_gen=0.9, true_prior=0.02"
11,SoC-Lesioned,12.298567208401257,"theta=(19,1), p_gen=0.1, true_prior=0.02"
12,SoC-Lesioned,8.604393890806222,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Gen,29.198256951906718,"theta=(19,1), p_gen=0.9, true_prior=0.02"
14,SoC-Rel,15.698880048599982,"theta=(2,1), p_gen=0.1, true_prior=0.02"
15,SoC-Gen,26.62550521038541,"theta=(19,1), p_gen=0.9, true_prior=0.02"
16,SoC-Lesioned,8.250753850562644,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Gen,31.383578311720537,"theta=(19,1), p_gen=0.9, true_prior=0.02"
18,SoC-Full,22.61834334616939,"theta=(5,1), p_gen=0.8, true_prior=0.02"
19,SoC-Full,78.58499140877115,"theta=(5,1), p_gen=0.8, true_prior=0.02"
20,SoC-Full,34.81618769328518,"theta=(5,1), p_gen=0.8, true_prior=0.02"
