theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial
"(1,1)",0.1,0.02,61.70679251762041,20,373,3.30867520201718
"(1,1)",0.2,0.02,34.17376015303547,20,373,1.8323731985541805
"(1,1)",0.3,0.02,35.71839409419453,20,373,1.9151953937905914
"(1,1)",0.4,0.02,37.549499935569685,20,373,2.0133780126310823
"(1,1)",0.5,0.02,32.605307930612085,20,373,1.748273883678932
"(1,1)",0.6,0.02,34.10070585567598,20,373,1.8284560780523316
"(1,1)",0.7,0.02,33.28701105587806,20,373,1.7848263300738907
"(1,1)",0.8,0.02,37.5663735160362,20,373,2.014282762253952
"(1,1)",0.9,0.02,32.59555048389615,20,373,1.747750696187461
"(1,2)",0.1,0.02,65.77946667296271,20,373,3.527049151365293
"(1,2)",0.2,0.02,54.77260518788605,20,373,2.9368689108786086
"(1,2)",0.3,0.02,41.33000072189583,20,373,2.2160858295922696
"(1,2)",0.4,0.02,43.51019255058587,20,373,2.3329861957418694
"(1,2)",0.5,0.02,41.528406018050624,20,373,2.226724183273492
"(1,2)",0.6,0.02,42.6457554160406,20,373,2.286635679144268
"(1,2)",0.7,0.02,31.698215604753187,20,373,1.699636225455935
"(1,2)",0.8,0.02,30.30202006533189,20,373,1.624773193851576
"(1,2)",0.9,0.02,35.311045977765545,20,373,1.893353671730056
"(1,3)",0.1,0.02,54.41206624065167,20,373,2.9175370638419125
"(1,3)",0.2,0.02,54.01319176970603,20,373,2.896149692745632
"(1,3)",0.3,0.02,67.41637997539462,20,373,3.6148193016297387
"(1,3)",0.4,0.02,59.566806776740385,20,373,3.193930658270262
"(1,3)",0.5,0.02,35.62786198053574,20,373,1.9103411249617022
"(1,3)",0.6,0.02,37.25983129307103,20,373,1.9978461819341033
"(1,3)",0.7,0.02,29.760757006066136,20,373,1.5957510459016695
"(1,3)",0.8,0.02,34.64496388419559,20,373,1.8576388141659834
"(1,3)",0.9,0.02,33.409876886179816,20,373,1.7914143102509286
"(2,1)",0.1,0.02,46.667401059800845,20,373,2.502273515270823
"(2,1)",0.2,0.02,32.60126809334357,20,373,1.7480572704205668
"(2,1)",0.3,0.02,32.66961114544808,20,373,1.751721777235822
"(2,1)",0.4,0.02,29.47826807344,20,373,1.5806041862434317
"(2,1)",0.5,0.02,30.863194693214325,20,373,1.654862986231331
"(2,1)",0.6,0.02,33.207061575534155,20,373,1.7805394946667106
"(2,1)",0.7,0.02,31.186929374584885,20,373,1.672221414186857
"(2,1)",0.8,0.02,36.1801562025157,20,373,1.9399547561670614
"(2,1)",0.9,0.02,38.337136647092265,20,373,2.0556105440800145
"(3,1)",0.1,0.02,48.77021060182814,20,373,2.615024697148962
"(3,1)",0.2,0.02,37.88116642482226,20,373,2.0311617385963676
"(3,1)",0.3,0.02,29.417824803150797,20,373,1.577363260222563
"(3,1)",0.4,0.02,31.65762884009581,20,373,1.6974599914260489
"(3,1)",0.5,0.02,30.160974932654163,20,373,1.6172104521530384
"(3,1)",0.6,0.02,35.68253957436858,20,373,1.9132728994299508
"(3,1)",0.7,0.02,30.796496314122408,20,373,1.6512866656365903
"(3,1)",0.8,0.02,29.66191112591999,20,373,1.5904509987088467
"(3,1)",0.9,0.02,34.58391891891868,20,373,1.8543656256792855
"(4,1)",0.1,0.02,63.418403066743814,20,373,3.400450566581438
"(4,1)",0.2,0.02,44.56103786994405,20,373,2.3893317892731396
"(4,1)",0.3,0.02,35.19347332740368,20,373,1.8870495081717793
"(4,1)",0.4,0.02,36.5532969342238,20,373,1.959962302103153
"(4,1)",0.5,0.02,31.101827397031684,20,373,1.6676583054708678
"(4,1)",0.6,0.02,31.293847512214334,20,373,1.6779542901991602
"(4,1)",0.7,0.02,29.730006426438962,20,373,1.5941022212567808
"(4,1)",0.8,0.02,37.86557191413504,20,373,2.0303255718034876
"(4,1)",0.9,0.02,31.014107041660186,20,373,1.662954801161404
"(5,1)",0.1,0.02,61.154174737418614,20,373,3.279044221845502
"(5,1)",0.2,0.02,42.10587616454752,20,373,2.257687730002548
"(5,1)",0.3,0.02,33.03489303255394,20,373,1.7713079374023561
"(5,1)",0.4,0.02,31.09838527444871,20,373,1.6674737412573033
"(5,1)",0.5,0.02,31.709690273549626,20,373,1.7002514891983713
"(5,1)",0.6,0.02,29.402431003005983,20,373,1.5765378553890608
"(5,1)",0.7,0.02,32.176829189374295,20,373,1.7252991522452705
"(5,1)",0.8,0.02,29.289135722636985,20,373,1.5704630414282565
"(5,1)",0.9,0.02,33.48009199618701,20,373,1.7951791955060057
"(6,1)",0.1,0.02,66.98445185228825,20,373,3.5916596167446784
"(6,1)",0.2,0.02,46.40081018726234,20,373,2.4879790985127257
"(6,1)",0.3,0.02,29.96306411540712,20,373,1.6065986120861728
"(6,1)",0.4,0.02,30.467146886080904,20,373,1.6336271788783328
"(6,1)",0.5,0.02,30.0488808023089,20,373,1.611200043019244
"(6,1)",0.6,0.02,38.15312018547305,20,373,2.0457437096768394
"(6,1)",0.7,0.02,30.8576451916205,20,373,1.6545654258241553
"(6,1)",0.8,0.02,30.255496492558347,20,373,1.6222786323087586
"(6,1)",0.9,0.02,40.0072278653434,20,373,2.1451596710639893
"(9,1)",0.1,0.02,78.7593767474395,20,373,4.223022881900241
"(9,1)",0.2,0.02,54.56912867610514,20,373,2.92595864215041
"(9,1)",0.3,0.02,57.04141205681525,20,373,3.0585207537166355
"(9,1)",0.4,0.02,29.890894738604324,20,373,1.6027289404077385
"(9,1)",0.5,0.02,33.18047263987979,20,373,1.779113814470766
"(9,1)",0.6,0.02,35.864932610391705,20,373,1.9230526868842739
"(9,1)",0.7,0.02,34.76265087957845,20,373,1.8639491088245819
"(9,1)",0.8,0.02,32.14209726538209,20,373,1.7234368506907287
"(9,1)",0.9,0.02,38.75701506899061,20,373,2.0781241323855557
"(15,1)",0.1,0.02,77.68743271754533,20,373,4.165545990216908
"(15,1)",0.2,0.02,49.021862628406794,20,373,2.6285181033998284
"(15,1)",0.3,0.02,47.03278084143146,20,373,2.5218649244735367
"(15,1)",0.4,0.02,46.51492358744209,20,373,2.494097779487512
"(15,1)",0.5,0.02,35.42668339659316,20,373,1.8995540695224218
"(15,1)",0.6,0.02,39.046361208042825,20,373,2.0936386706725374
"(15,1)",0.7,0.02,31.92937546448376,20,373,1.712030856004491
"(15,1)",0.8,0.02,34.566597148252114,20,373,1.853436844410301
"(15,1)",0.9,0.02,29.479468818819736,20,373,1.5806685693737124
"(19,1)",0.1,0.02,82.65650387499626,20,373,4.431984121983714
"(19,1)",0.2,0.02,52.11770687696313,20,373,2.7945151140462805
"(19,1)",0.3,0.02,38.589411346138874,20,373,2.069137337594578
"(19,1)",0.4,0.02,35.59894389479547,20,373,1.9087905573616872
"(19,1)",0.5,0.02,32.028989436633616,20,373,1.7173720877551537
"(19,1)",0.6,0.02,40.09468619839779,20,373,2.1498491259194523
"(19,1)",0.7,0.02,38.5833573478517,20,373,2.0688127264263647
"(19,1)",0.8,0.02,32.18307044073877,20,373,1.7256338037929633
"(19,1)",0.9,0.02,31.089601092016686,20,373,1.6670027395183211
