Person_Id,Model,negative Loglikelihood,k,AIC,parameters
1,SoC-Gen,20.790312871649842,1,43.580625743299684,"theta=(19,1), p_gen=0.9, true_prior=0.02"
2,SoC-Lesioned,9.306871222511976,0,18.613742445023952,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Lesioned,25.264064763921755,0,50.52812952784351,"theta=(19,1), p_gen=0.1, true_prior=0.02"
4,SoC-Lesioned,17.32915980641202,0,34.65831961282404,"theta=(19,1), p_gen=0.1, true_prior=0.02"
5,SoC-Rel,16.93849013071198,1,35.87698026142396,"theta=(2,1), p_gen=0.1, true_prior=0.02"
6,SoC-Gen,29.585455570631584,1,61.17091114126317,"theta=(19,1), p_gen=0.9, true_prior=0.02"
7,SoC-Lesioned,24.06094068962728,0,48.12188137925456,"theta=(19,1), p_gen=0.1, true_prior=0.02"
8,SoC-Gen,37.77522691263211,1,77.55045382526421,"theta=(19,1), p_gen=0.9, true_prior=0.02"
9,SoC-Lesioned,24.763273234014676,0,49.52654646802935,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Gen,39.922941839011074,1,81.84588367802215,"theta=(19,1), p_gen=0.9, true_prior=0.02"
11,SoC-Lesioned,12.298567208401257,0,24.597134416802515,"theta=(19,1), p_gen=0.1, true_prior=0.02"
12,SoC-Lesioned,8.604393890806222,0,17.208787781612443,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Gen,29.198256951906718,1,60.396513903813435,"theta=(19,1), p_gen=0.9, true_prior=0.02"
14,SoC-Lesioned,16.338348967378938,0,32.676697934757875,"theta=(19,1), p_gen=0.1, true_prior=0.02"
15,SoC-Gen,26.62550521038541,1,55.25101042077082,"theta=(19,1), p_gen=0.9, true_prior=0.02"
16,SoC-Lesioned,8.250753850562644,0,16.501507701125288,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Gen,31.383578311720537,1,64.76715662344108,"theta=(19,1), p_gen=0.9, true_prior=0.02"
18,SoC-Full,22.61834334616939,2,49.23668669233878,"theta=(5,1), p_gen=0.8, true_prior=0.02"
19,SoC-Full,78.58499140877115,2,161.1699828175423,"theta=(5,1), p_gen=0.8, true_prior=0.02"
20,SoC-Full,34.81618769328518,2,73.63237538657036,"theta=(5,1), p_gen=0.8, true_prior=0.02"
