theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(1,1)",0.1,0.02,61.70679251762041,20,373,3.30867520201718,1,125.41358503524081
"(1,1)",0.2,0.02,34.17376015303547,20,373,1.8323731985541805,2,72.34752030607093
"(1,1)",0.3,0.02,35.71839409419453,20,373,1.9151953937905914,2,75.43678818838906
"(1,1)",0.4,0.02,37.549499935569685,20,373,2.0133780126310823,2,79.09899987113937
"(1,1)",0.5,0.02,32.605307930612085,20,373,1.748273883678932,2,69.21061586122417
"(1,1)",0.6,0.02,34.10070585567598,20,373,1.8284560780523316,2,72.20141171135197
"(1,1)",0.7,0.02,33.28701105587806,20,373,1.7848263300738907,2,70.57402211175612
"(1,1)",0.8,0.02,37.5663735160362,20,373,2.014282762253952,2,79.1327470320724
"(1,1)",0.9,0.02,32.59555048389615,20,373,1.747750696187461,2,69.1911009677923
"(1,2)",0.1,0.02,65.77946667296271,20,373,3.527049151365293,1,133.55893334592542
"(1,2)",0.2,0.02,54.77260518788605,20,373,2.9368689108786086,2,113.5452103757721
"(1,2)",0.3,0.02,41.33000072189583,20,373,2.2160858295922696,2,86.66000144379166
"(1,2)",0.4,0.02,43.51019255058587,20,373,2.3329861957418694,2,91.02038510117174
"(1,2)",0.5,0.02,41.528406018050624,20,373,2.226724183273492,2,87.05681203610125
"(1,2)",0.6,0.02,42.6457554160406,20,373,2.286635679144268,2,89.2915108320812
"(1,2)",0.7,0.02,31.698215604753187,20,373,1.699636225455935,2,67.39643120950637
"(1,2)",0.8,0.02,30.30202006533189,20,373,1.624773193851576,2,64.60404013066378
"(1,2)",0.9,0.02,35.311045977765545,20,373,1.893353671730056,2,74.62209195553109
"(1,3)",0.1,0.02,54.41206624065167,20,373,2.9175370638419125,1,110.82413248130334
"(1,3)",0.2,0.02,54.01319176970603,20,373,2.896149692745632,2,112.02638353941207
"(1,3)",0.3,0.02,67.41637997539462,20,373,3.6148193016297387,2,138.83275995078924
"(1,3)",0.4,0.02,59.566806776740385,20,373,3.193930658270262,2,123.13361355348077
"(1,3)",0.5,0.02,35.62786198053574,20,373,1.9103411249617022,2,75.25572396107148
"(1,3)",0.6,0.02,37.25983129307103,20,373,1.9978461819341033,2,78.51966258614206
"(1,3)",0.7,0.02,29.760757006066136,20,373,1.5957510459016695,2,63.52151401213227
"(1,3)",0.8,0.02,34.64496388419559,20,373,1.8576388141659834,2,73.28992776839118
"(1,3)",0.9,0.02,33.409876886179816,20,373,1.7914143102509286,2,70.81975377235963
"(2,1)",0.1,0.02,46.667401059800845,20,373,2.502273515270823,1,95.33480211960169
"(2,1)",0.2,0.02,32.60126809334357,20,373,1.7480572704205668,2,69.20253618668714
"(2,1)",0.3,0.02,32.66961114544808,20,373,1.751721777235822,2,69.33922229089616
"(2,1)",0.4,0.02,29.47826807344,20,373,1.5806041862434317,2,62.95653614688
"(2,1)",0.5,0.02,30.863194693214325,20,373,1.654862986231331,2,65.72638938642865
"(2,1)",0.6,0.02,33.207061575534155,20,373,1.7805394946667106,2,70.41412315106831
"(2,1)",0.7,0.02,31.186929374584885,20,373,1.672221414186857,2,66.37385874916977
