Person_Id,Model,negative Loglikelihood,k,AIC,parameters
1,SoC-Gen,20.557383798871886,1,43.11476759774377,"theta=(19,1), p_gen=0.4, true_prior=0.02"
2,SoC-Gen,13.93565989109554,1,29.87131978219108,"theta=(19,1), p_gen=0.4, true_prior=0.02"
3,SoC-Full,17.931915128384855,2,39.86383025676971,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4,SoC-Full,19.655593564980492,2,43.311187129960985,"theta=(1,3), p_gen=0.8, true_prior=0.02"
5,SoC-Lesioned,12.506665039496328,0,25.013330078992656,"theta=(19,1), p_gen=0.1, true_prior=0.02"
6,SoC-Lesioned,17.754156838512863,0,35.508313677025725,"theta=(19,1), p_gen=0.1, true_prior=0.02"
7,SoC-Gen,23.418940014520494,1,48.83788002904099,"theta=(19,1), p_gen=0.4, true_prior=0.02"
8,SoC-Full,28.173886924394978,2,60.347773848789956,"theta=(1,3), p_gen=0.8, true_prior=0.02"
9,SoC-Lesioned,16.09669271732244,0,32.19338543464488,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,16.215313078932688,0,32.430626157865376,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Lesioned,15.075878795744323,0,30.151757591488646,"theta=(19,1), p_gen=0.1, true_prior=0.02"
12,SoC-Lesioned,19.00691980700823,0,38.01383961401646,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Rel,15.999154317348832,1,33.998308634697665,"theta=(6,1), p_gen=0.1, true_prior=0.02"
14,SoC-Gen,20.5941829080011,1,43.1883658160022,"theta=(19,1), p_gen=0.4, true_prior=0.02"
15,SoC-Lesioned,24.18955002683271,0,48.37910005366542,"theta=(19,1), p_gen=0.1, true_prior=0.02"
16,SoC-Lesioned,7.955603483503337,0,15.911206967006674,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Lesioned,22.458266972355858,0,44.916533944711716,"theta=(19,1), p_gen=0.1, true_prior=0.02"
18,SoC-Gen,23.672171824136818,1,49.344343648273636,"theta=(19,1), p_gen=0.4, true_prior=0.02"
19,SoC-Lesioned,19.428133272084533,0,38.85626654416907,"theta=(19,1), p_gen=0.1, true_prior=0.02"
20,SoC-Rel,13.37502263795025,1,28.7500452759005,"theta=(6,1), p_gen=0.1, true_prior=0.02"
