theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(1,1)",0.1,0.02,90.17966835192304,20,270,6.679975433475781,1,182.35933670384608
"(1,1)",0.2,0.02,30.404585788885196,20,270,2.252191539917422,2,64.8091715777704
"(1,1)",0.3,0.02,46.85740334516331,20,270,3.4709187663083934,2,97.71480669032663
"(1,1)",0.4,0.02,47.598986556028834,20,270,3.5258508560021355,2,99.19797311205767
"(1,1)",0.5,0.02,34.03002048659723,20,270,2.520742258266462,2,72.06004097319446
"(1,1)",0.6,0.02,34.10848323763117,20,270,2.526554313898605,2,72.21696647526234
"(1,1)",0.7,0.02,30.910513762523873,20,270,2.2896676861128795,2,65.82102752504775
"(1,1)",0.8,0.02,43.56466476916521,20,270,3.2270122051233487,2,91.12932953833042
"(1,1)",0.9,0.02,35.537834867952434,20,270,2.632432212440921,2,75.07566973590487
"(1,2)",0.1,0.02,62.52789771306355,20,270,4.631696126893597,1,127.0557954261271
"(1,2)",0.2,0.02,70.82856772948232,20,270,5.2465605725542455,2,145.65713545896463
"(1,2)",0.3,0.02,55.60536598680661,20,270,4.118915999022712,2,115.21073197361322
"(1,2)",0.4,0.02,61.1819320389954,20,270,4.531994965851511,2,126.3638640779908
"(1,2)",0.5,0.02,49.343917308927374,20,270,3.655104985846472,2,102.68783461785475
"(1,2)",0.6,0.02,49.023407383397505,20,270,3.6313635098812966,2,102.04681476679501
"(1,2)",0.7,0.02,28.207653722402814,20,270,2.089455831289097,2,60.41530744480563
"(1,2)",0.8,0.02,27.880502804078436,20,270,2.065222429931736,2,59.76100560815687
"(1,2)",0.9,0.02,34.82785165393006,20,270,2.5798408632540784,2,73.65570330786012
"(1,3)",0.1,0.02,50.62168566961404,20,270,3.7497544940454843,1,103.24337133922808
"(1,3)",0.2,0.02,74.00212689548586,20,270,5.481639029295248,2,152.00425379097172
"(1,3)",0.3,0.02,99.66403098463407,20,270,7.382520813676598,2,203.32806196926813
"(1,3)",0.4,0.02,81.5677938522294,20,270,6.042058803868844,2,167.1355877044588
"(1,3)",0.5,0.02,45.768417894952925,20,270,3.3902531774039204,2,95.53683578990585
"(1,3)",0.6,0.02,37.38776806736969,20,270,2.769464301286644,2,78.77553613473938
"(1,3)",0.7,0.02,22.442157478540977,20,270,1.6623820354474799,2,48.884314957081955
"(1,3)",0.8,0.02,35.696795987879646,20,270,2.644207110213307,2,75.39359197575929
"(1,3)",0.9,0.02,37.17219452163303,20,270,2.753495890491336,2,78.34438904326606
"(2,1)",0.1,0.02,41.912665893078994,20,270,3.1046419180058513,1,85.82533178615799
"(2,1)",0.2,0.02,33.02990996138645,20,270,2.4466599971397374,2,70.0598199227729
"(2,1)",0.3,0.02,34.52376089555345,20,270,2.557315621892848,2,73.0475217911069
"(2,1)",0.4,0.02,19.743890417071736,20,270,1.462510401264573,2,43.48778083414347
"(2,1)",0.5,0.02,26.76169563796764,20,270,1.9823478250346402,2,57.52339127593528
"(2,1)",0.6,0.02,31.640798312496752,20,270,2.3437628379627222,2,67.28159662499351
"(2,1)",0.7,0.02,24.126568260749806,20,270,1.7871532044999856,2,52.25313652149961
"(2,1)",0.8,0.02,40.30131090731042,20,270,2.9852822894304016,2,84.60262181462085
"(2,1)",0.9,0.02,48.647567238976826,20,270,3.6035234991834684,2,101.29513447795365
"(3,1)",0.1,0.02,53.287913685536694,20,270,3.9472528655953107,1,108.57582737107339
"(3,1)",0.2,0.02,25.747234951612295,20,270,1.9072025890083182,2,55.49446990322459
"(3,1)",0.3,0.02,21.16659159729128,20,270,1.5678956738734282,2,46.33318319458256
"(3,1)",0.4,0.02,25.84479978682764,20,270,1.9144296138390844,2,55.68959957365528
"(3,1)",0.5,0.02,26.49424366676277,20,270,1.9625365679083533,2,56.98848733352554
"(3,1)",0.6,0.02,33.57328389504472,20,270,2.4869099181514605,2,71.14656779008943
"(3,1)",0.7,0.02,27.438633343333397,20,270,2.0324913587654367,2,58.87726668666679
"(3,1)",0.8,0.02,23.813325987121782,20,270,1.763950073120132,2,51.626651974243565
"(3,1)",0.9,0.02,40.45916997945335,20,270,2.9969755540335816,2,84.9183399589067
"(4,1)",0.1,0.02,45.909334582424854,20,270,3.4006914505499894,1,93.81866916484971
"(4,1)",0.2,0.02,22.75051926546822,20,270,1.685223649293942,2,49.50103853093644
"(4,1)",0.3,0.02,19.46957263641835,20,270,1.4421905656606184,2,42.9391452728367
"(4,1)",0.4,0.02,20.356781878989395,20,270,1.5079097688140293,2,44.71356375797879
"(4,1)",0.5,0.02,26.25025794854277,20,270,1.9444635517439088,2,56.50051589708554
"(4,1)",0.6,0.02,20.85466357043354,20,270,1.5447898941061882,2,45.70932714086708
"(4,1)",0.7,0.02,24.113976240889702,20,270,1.786220462288126,2,52.227952481779404
"(4,1)",0.8,0.02,43.97214767245297,20,270,3.257196123885405,2,91.94429534490594
"(4,1)",0.9,0.02,28.27274413176271,20,270,2.094277343093534,2,60.54548826352542
"(5,1)",0.1,0.02,34.85473376845279,20,270,2.581832130996503,1,71.70946753690558
"(5,1)",0.2,0.02,28.438177494462128,20,270,2.106531666256454,2,60.876354988924255
"(5,1)",0.3,0.02,23.149664290412503,20,270,1.714789947437963,2,50.299328580825005
"(5,1)",0.4,0.02,20.690873965432807,20,270,1.5326573307728004,2,45.381747930865615
"(5,1)",0.5,0.02,20.399696467360435,20,270,1.5110886272118842,2,44.79939293472087
"(5,1)",0.6,0.02,22.348656103195186,20,270,1.6554560076440878,2,48.69731220639037
"(5,1)",0.7,0.02,30.567162299982403,20,270,2.264234244443141,2,65.1343245999648
"(5,1)",0.8,0.02,23.898567016460063,20,270,1.7702642234414863,2,51.79713403292013
"(5,1)",0.9,0.02,32.19252915860734,20,270,2.3846317895264697,2,68.38505831721469
