Person_Id,Model,negative Loglikelihood,parameters
1,SoC-Gen,23.429414852651455,"theta=(19,1), p_gen=0.8, true_prior=0.02"
2,SoC-Lesioned,22.237393569576184,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Gen,17.667233371762357,"theta=(19,1), p_gen=0.8, true_prior=0.02"
4,SoC-Gen,19.95397623867632,"theta=(19,1), p_gen=0.8, true_prior=0.02"
5,SoC-Lesioned,13.770142886406857,"theta=(19,1), p_gen=0.1, true_prior=0.02"
6,SoC-Lesioned,22.326006227932787,"theta=(19,1), p_gen=0.1, true_prior=0.02"
7,SoC-Gen,29.522331460903864,"theta=(19,1), p_gen=0.8, true_prior=0.02"
8,SoC-Gen,25.700158809765764,"theta=(19,1), p_gen=0.8, true_prior=0.02"
9,SoC-Lesioned,15.269797055463648,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,20.243300713543483,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Lesioned,16.725053165440595,"theta=(19,1), p_gen=0.1, true_prior=0.02"
12,SoC-Lesioned,24.72390150073116,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Lesioned,17.44265304178291,"theta=(19,1), p_gen=0.1, true_prior=0.02"
14,SoC-Lesioned,24.30126133767667,"theta=(19,1), p_gen=0.1, true_prior=0.02"
15,SoC-Lesioned,24.073343191854608,"theta=(19,1), p_gen=0.1, true_prior=0.02"
16,SoC-Lesioned,8.9021122811408,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Gen,44.20848910906394,"theta=(19,1), p_gen=0.8, true_prior=0.02"
18,SoC-Gen,22.84523491459071,"theta=(19,1), p_gen=0.8, true_prior=0.02"
19,SoC-Lesioned,24.72390150073116,"theta=(19,1), p_gen=0.1, true_prior=0.02"
20,SoC-Lesioned,14.016645118119783,"theta=(19,1), p_gen=0.1, true_prior=0.02"
