theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial
"(1,1)",0.1,0.02,85.5866139207553,20,270,6.3397491793152065
"(1,1)",0.2,0.02,71.55936114674405,20,270,5.300693418277337
"(1,1)",0.3,0.02,63.13500714209893,20,270,4.6766671957110315
"(1,1)",0.4,0.02,38.282759114836516,20,270,2.8357599344323345
"(1,1)",0.5,0.02,38.974699509199844,20,270,2.8870147784592475
"(1,1)",0.6,0.02,35.38646048911695,20,270,2.6212192954901443
"(1,1)",0.7,0.02,27.395447288207144,20,270,2.0292923917190477
"(1,1)",0.8,0.02,36.62483392475046,20,270,2.7129506610926266
"(1,1)",0.9,0.02,45.686862564075476,20,270,3.3842120417833685
"(1,2)",0.1,0.02,69.0295725028083,20,270,5.11330166687469
"(1,2)",0.2,0.02,114.52918285038125,20,270,8.483643174102314
"(1,2)",0.3,0.02,74.2910308095048,20,270,5.5030393192225775
"(1,2)",0.4,0.02,55.09764574903526,20,270,4.08130709252113
"(1,2)",0.5,0.02,44.42386707725933,20,270,3.2906568205377282
"(1,2)",0.6,0.02,33.73550953576144,20,270,2.498926632278625
"(1,2)",0.7,0.02,39.87931899121976,20,270,2.9540236289792414
"(1,2)",0.8,0.02,39.58003876729721,20,270,2.9318547235034975
"(1,2)",0.9,0.02,36.50089509503856,20,270,2.703770007039893
"(1,3)",0.1,0.02,124.73006637825029,20,270,9.239264176166687
"(1,3)",0.2,0.02,111.32529717482392,20,270,8.246318309246217
"(1,3)",0.3,0.02,82.0581798469264,20,270,6.078383692364918
"(1,3)",0.4,0.02,59.115043729073065,20,270,4.378892128079486
"(1,3)",0.5,0.02,36.5877153503012,20,270,2.7102011370593484
"(1,3)",0.6,0.02,37.22869137008305,20,270,2.757680842228374
"(1,3)",0.7,0.02,45.59740937587301,20,270,3.3775858796942972
"(1,3)",0.8,0.02,33.74251223346296,20,270,2.499445350626886
"(1,3)",0.9,0.02,30.394701198466958,20,270,2.2514593480345897
"(2,1)",0.1,0.02,31.507348038840917,20,270,2.3338776325067347
"(2,1)",0.2,0.02,44.068345139016024,20,270,3.2643218621493353
"(2,1)",0.3,0.02,30.958071067428865,20,270,2.2931904494391753
"(2,1)",0.4,0.02,22.57809556466055,20,270,1.6724515233081891
"(2,1)",0.5,0.02,30.191717184905134,20,270,2.236423495178158
"(2,1)",0.6,0.02,27.98268140277147,20,270,2.072791215020109
"(2,1)",0.7,0.02,30.506735831458418,20,270,2.2597582097376607
"(2,1)",0.8,0.02,33.67642117156836,20,270,2.494549716412471
"(2,1)",0.9,0.02,38.74379760474239,20,270,2.8699109336846216
"(3,1)",0.1,0.02,30.499548021986577,20,270,2.259225779406413
"(3,1)",0.2,0.02,29.698848406969148,20,270,2.1999146968125296
"(3,1)",0.3,0.02,26.02391845900205,20,270,1.9276976636297816
"(3,1)",0.4,0.02,20.805258577966892,20,270,1.5411302650345846
"(3,1)",0.5,0.02,20.44529272843267,20,270,1.5144661280320497
"(3,1)",0.6,0.02,25.64022000740109,20,270,1.8992755561037846
"(3,1)",0.7,0.02,24.62891145093837,20,270,1.8243638111806202
"(3,1)",0.8,0.02,39.310901918954876,20,270,2.911918660663324
"(3,1)",0.9,0.02,25.720002958149678,20,270,1.9051854043073835
"(4,1)",0.1,0.02,53.91463738218347,20,270,3.9936768431247014
"(4,1)",0.2,0.02,25.10072826277857,20,270,1.8593132046502645
"(4,1)",0.3,0.02,21.203285490971222,20,270,1.5706137400719424
"(4,1)",0.4,0.02,21.110285103882198,20,270,1.5637248225097924
"(4,1)",0.5,0.02,23.174796239817653,20,270,1.7166515733198262
"(4,1)",0.6,0.02,23.6862547315851,20,270,1.7545373875248225
"(4,1)",0.7,0.02,23.584044250635714,20,270,1.7469662407878306
"(4,1)",0.8,0.02,44.40114212837551,20,270,3.2889734909907786
"(4,1)",0.9,0.02,38.88127060907432,20,270,2.8800941191906904
"(5,1)",0.1,0.02,42.596727123662696,20,270,3.1553131202713107
"(5,1)",0.2,0.02,25.655430705686207,20,270,1.9004022744952744
"(5,1)",0.3,0.02,21.257860865329434,20,270,1.574656360394773
"(5,1)",0.4,0.02,21.50537528118614,20,270,1.5929907615693435
"(5,1)",0.5,0.02,21.391813984770245,20,270,1.5845788136866847
"(5,1)",0.6,0.02,23.161518078836014,20,270,1.7156680058397047
"(5,1)",0.7,0.02,23.03153606038,20,270,1.7060397081762964
"(5,1)",0.8,0.02,22.486812872213804,20,270,1.6656898423862077
"(5,1)",0.9,0.02,30.336375699357838,20,270,2.247138940693173
"(6,1)",0.1,0.02,30.916841032449156,20,270,2.2901363727740116
"(6,1)",0.2,0.02,22.930049198055684,20,270,1.6985221628189395
"(6,1)",0.3,0.02,19.620538540932984,20,270,1.453373225254295
"(6,1)",0.4,0.02,20.025125808204113,20,270,1.4833426524595639
"(6,1)",0.5,0.02,26.135090218381844,20,270,1.9359326087690256
"(6,1)",0.6,0.02,29.56128519217313,20,270,2.1897248290498617
"(6,1)",0.7,0.02,34.51374894987873,20,270,2.5565739962873133
"(6,1)",0.8,0.02,34.79660903752399,20,270,2.5775265953721473
"(6,1)",0.9,0.02,31.14684122789967,20,270,2.3071734242888646
"(9,1)",0.1,0.02,30.747881132091855,20,270,2.277620824599397
"(9,1)",0.2,0.02,25.39457886375883,20,270,1.8810799158339873
"(9,1)",0.3,0.02,19.92640586338611,20,270,1.4760300639545265
"(9,1)",0.4,0.02,21.296494267786777,20,270,1.5775180939101316
"(9,1)",0.5,0.02,29.189104251814474,20,270,2.1621558705047756
"(9,1)",0.6,0.02,21.84022244672797,20,270,1.617794255313183
"(9,1)",0.7,0.02,25.51167567605956,20,270,1.8897537537821896
"(9,1)",0.8,0.02,21.91957373514437,20,270,1.6236721285292124
"(9,1)",0.9,0.02,25.225419203120673,20,270,1.8685495706015312
"(15,1)",0.1,0.02,44.122502873512616,20,270,3.2683335461861196
"(15,1)",0.2,0.02,20.54795663195518,20,270,1.52207086162631
"(15,1)",0.3,0.02,18.787041627158704,20,270,1.391632713122867
"(15,1)",0.4,0.02,19.825048374617253,20,270,1.4685221018235002
"(15,1)",0.5,0.02,25.807694042648144,20,270,1.9116810401961588
"(15,1)",0.6,0.02,29.69954415059027,20,270,2.199966233377057
"(15,1)",0.7,0.02,22.674320589711147,20,270,1.6795793029415664
"(15,1)",0.8,0.02,22.961324574749906,20,270,1.700838857388882
"(15,1)",0.9,0.02,28.159130300458834,20,270,2.0858615037376915
"(19,1)",0.1,0.02,29.147147059364706,20,270,2.1590479303233114
"(19,1)",0.2,0.02,20.570023453288975,20,270,1.5237054409843684
"(19,1)",0.3,0.02,21.79719626652903,20,270,1.6146071308540022
"(19,1)",0.4,0.02,19.185536703105132,20,270,1.4211508668966764
"(19,1)",0.5,0.02,26.528979883570578,20,270,1.965109621005228
"(19,1)",0.6,0.02,25.41043282050879,20,270,1.8822542830006512
"(19,1)",0.7,0.02,25.276888628174454,20,270,1.872362120605515
"(19,1)",0.8,0.02,27.34563112569118,20,270,2.0256023056067542
