Person_Id,Model,negative Loglikelihood,parameters
1,SoC-Gen,23.73393370655344,"theta=(19,1), p_gen=0.8, true_prior=0.02"
2,SoC-Lesioned,17.4476316782596,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Full,17.931915128384855,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4,SoC-Full,19.655593564980492,"theta=(1,3), p_gen=0.8, true_prior=0.02"
5,SoC-Lesioned,12.506665039496328,"theta=(19,1), p_gen=0.1, true_prior=0.02"
6,SoC-Lesioned,17.754156838512863,"theta=(19,1), p_gen=0.1, true_prior=0.02"
7,SoC-Gen,30.67992318647229,"theta=(19,1), p_gen=0.8, true_prior=0.02"
8,SoC-Gen,26.080176534352443,"theta=(19,1), p_gen=0.8, true_prior=0.02"
9,SoC-Lesioned,16.09669271732244,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,16.215313078932688,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Lesioned,15.075878795744323,"theta=(19,1), p_gen=0.1, true_prior=0.02"
12,SoC-Lesioned,19.00691980700823,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Lesioned,18.778250589377272,"theta=(19,1), p_gen=0.1, true_prior=0.02"
14,SoC-Lesioned,21.665049005319222,"theta=(19,1), p_gen=0.1, true_prior=0.02"
15,SoC-Lesioned,24.18955002683271,"theta=(19,1), p_gen=0.1, true_prior=0.02"
16,SoC-Lesioned,7.955603483503337,"theta=(19,1), p_gen=0.1, true_prior=0.02"
17,SoC-Lesioned,22.458266972355858,"theta=(19,1), p_gen=0.1, true_prior=0.02"
18,SoC-Full,23.924859950825336,"theta=(1,3), p_gen=0.8, true_prior=0.02"
19,SoC-Lesioned,19.428133272084533,"theta=(19,1), p_gen=0.1, true_prior=0.02"
20,SoC-Lesioned,16.256570533595017,"theta=(19,1), p_gen=0.1, true_prior=0.02"
