Person_Id,Model,negative Loglikelihood,parameters
640,SoC-Full,60.73274486262524,"theta=(1,3), p_gen=0.7, true_prior=0.02"
686,SoC-Full,16.06766380149192,"theta=(1,3), p_gen=0.7, true_prior=0.02"
695,SoC-Full,4.385662006477761,"theta=(1,3), p_gen=0.7, true_prior=0.02"
703,SoC-Full,37.29474273541507,"theta=(1,3), p_gen=0.7, true_prior=0.02"
742,SoC-Full,38.16291964810068,"theta=(1,3), p_gen=0.7, true_prior=0.02"
744,SoC-Gen,22.8615434341307,"theta=(19,1), p_gen=0.7, true_prior=0.02"
798,SoC-Rel,43.3441520845141,"theta=(1,3), p_gen=0.1, true_prior=0.02"
836,SoC-Gen,48.92155287343255,"theta=(19,1), p_gen=0.7, true_prior=0.02"
844,SoC-Full,91.15233301767076,"theta=(1,3), p_gen=0.7, true_prior=0.02"
931,SoC-Full,14.958516210908432,"theta=(1,3), p_gen=0.7, true_prior=0.02"
964,SoC-Full,14.958516210908432,"theta=(1,3), p_gen=0.7, true_prior=0.02"
975,SoC-Gen,26.34641158280033,"theta=(19,1), p_gen=0.7, true_prior=0.02"
998,SoC-Full,77.20247305731178,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1053,SoC-Gen,38.47433619701056,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1087,SoC-Full,33.91531419850263,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1092,SoC-Gen,28.208342851669794,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1149,SoC-Full,15.023118734094087,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1155,SoC-Gen,56.04065848830914,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1198,SoC-Full,60.52267945221371,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1229,SoC-Full,106.78574693929251,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1308,SoC-Full,14.627838651044293,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1324,SoC-Full,14.181336054394997,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1340,SoC-Full,51.693114391060924,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1357,SoC-Full,65.28158390735544,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1427,SoC-Full,19.55126696228299,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1448,SoC-Full,14.714467435675285,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1466,SoC-Full,17.366461819560303,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1468,SoC-Full,15.672383718442124,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1489,SoC-Full,45.29066955515666,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1525,SoC-Lesioned,20.15568187936181,"theta=(19,1), p_gen=0.1, true_prior=0.02"
1546,SoC-Full,14.958516210908432,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1654,SoC-Full,68.82412091807717,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1705,SoC-Full,13.621935760480447,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1710,SoC-Gen,51.340443085141295,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1727,SoC-Gen,21.454718603296847,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1782,SoC-Rel,15.971600479853429,"theta=(1,3), p_gen=0.1, true_prior=0.02"
1803,SoC-Gen,37.00129038337268,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1835,SoC-Full,84.29707861823117,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1840,SoC-Lesioned,18.309222290945627,"theta=(19,1), p_gen=0.1, true_prior=0.02"
1841,SoC-Gen,18.92464992692187,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1900,SoC-Gen,23.292099041860794,"theta=(19,1), p_gen=0.7, true_prior=0.02"
1941,SoC-Lesioned,11.015249082800981,"theta=(19,1), p_gen=0.1, true_prior=0.02"
1949,SoC-Full,37.168303268101454,"theta=(1,3), p_gen=0.7, true_prior=0.02"
1987,SoC-Gen,45.76966578556822,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2023,SoC-Gen,39.1313161283355,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2056,SoC-Gen,38.94148906363215,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2090,SoC-Full,13.893869475964092,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2117,SoC-Full,22.3850763303212,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2137,SoC-Full,14.794698125679034,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2153,SoC-Gen,40.76657458119972,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2160,SoC-Gen,24.718849967202697,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2261,SoC-Full,13.621935760480447,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2277,SoC-Gen,64.64971282819307,"theta=(19,1), p_gen=0.7, true_prior=0.02"
2316,SoC-Full,84.26385600384735,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2333,SoC-Lesioned,9.247587165151986,"theta=(19,1), p_gen=0.1, true_prior=0.02"
2341,SoC-Full,16.213782309621916,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2395,SoC-Full,22.6740119283546,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2406,SoC-Full,41.618903219430585,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2460,SoC-Full,14.181336054394997,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2475,SoC-Full,17.94419814860892,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2489,SoC-Full,73.6359726021162,"theta=(1,3), p_gen=0.7, true_prior=0.02"
