Person_Id,Model,negative Loglikelihood,parameters
2619,SoC-Full,103.78192408231006,"theta=(1,3), p_gen=0.8, true_prior=0.02"
2621,SoC-Gen,19.798833915725183,"theta=(19,1), p_gen=0.8, true_prior=0.02"
2632,SoC-Gen,27.85387916121871,"theta=(19,1), p_gen=0.8, true_prior=0.02"
2701,SoC-Full,109.23623897366107,"theta=(1,3), p_gen=0.8, true_prior=0.02"
2766,SoC-Rel,64.37874197836895,"theta=(1,3), p_gen=0.1, true_prior=0.02"
2768,SoC-Full,132.08454567010676,"theta=(1,3), p_gen=0.8, true_prior=0.02"
2912,SoC-Full,111.33883441722006,"theta=(1,3), p_gen=0.8, true_prior=0.02"
2937,SoC-Gen,62.169109780466535,"theta=(19,1), p_gen=0.8, true_prior=0.02"
2970,SoC-Gen,24.839912142567734,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3079,SoC-Full,98.7901053759394,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3147,SoC-Gen,62.30466070653948,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3192,SoC-Gen,34.41583087615075,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3199,SoC-Full,74.5731254064746,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3260,SoC-Full,75.00560259314577,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3308,SoC-Full,58.987988108241616,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3329,SoC-Lesioned,14.225980074119414,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3395,SoC-Full,69.60659970377839,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3449,SoC-Full,99.51099996351861,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3452,SoC-Full,97.63858215866057,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3471,SoC-Full,74.32630411456363,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3477,SoC-Gen,22.560698674601987,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3618,SoC-Gen,24.178806701701077,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3663,SoC-Gen,22.431920716848403,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3665,SoC-Gen,29.035507194843237,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3674,SoC-Full,72.04576936121785,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3766,SoC-Gen,23.304197660848274,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3783,SoC-Gen,32.80224100294706,"theta=(19,1), p_gen=0.8, true_prior=0.02"
3816,SoC-Full,80.81625379433768,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3881,SoC-Full,107.50668830454063,"theta=(1,3), p_gen=0.8, true_prior=0.02"
3963,SoC-Full,53.87898898335201,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4039,SoC-Full,65.16588630628611,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4046,SoC-Full,91.6303860377482,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4047,SoC-Full,144.94190996194726,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4062,SoC-Gen,69.23094471402642,"theta=(19,1), p_gen=0.8, true_prior=0.02"
4263,SoC-Full,27.58846948825169,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4273,SoC-Full,109.87169078836139,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4348,SoC-Gen,46.59788778992442,"theta=(19,1), p_gen=0.8, true_prior=0.02"
4408,SoC-Gen,34.479089247680385,"theta=(19,1), p_gen=0.8, true_prior=0.02"
4430,SoC-Full,119.51129499822156,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4518,SoC-Full,34.820804307653,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4545,SoC-Gen,20.36892174156086,"theta=(19,1), p_gen=0.8, true_prior=0.02"
4563,SoC-Gen,32.17491880906477,"theta=(19,1), p_gen=0.8, true_prior=0.02"
4589,SoC-Full,29.830958671213665,"theta=(1,3), p_gen=0.8, true_prior=0.02"
4625,SoC-Gen,57.7057896387837,"theta=(19,1), p_gen=0.8, true_prior=0.02"
