action_id,action_type,key,box,success,supposed_to_open,error
1,attempt,white,white,0,0,0
2,attempt,pink,pink,0,0,0
3,attempt,orange4,purple,0,0,0
4,attempt,cloud,pink,0,0,0
5,examine,,pink,,,
6,examine,,red,,,
7,examine,,white,,,
8,attempt,orange4,white,0,1,1
9,examine,,purple,,,
10,attempt,heart,purple,0,0,0
11,attempt,purple,purple,0,0,0
12,attempt,red,red,1,1,0
13,attempt,triangle,blue,0,0,0
14,attempt,green3,purple,1,1,0
15,attempt,blue,blue,0,0,0
16,examine,,blue,,,
17,attempt,diamond,white,0,0,0
18,attempt,grey2,pink,1,1,0
19,attempt,orange4,blue,0,0,0
20,attempt,pink,white,0,0,0
21,attempt,orange4,white,0,1,1
22,attempt,purple,blue,0,0,0
23,attempt,orange4,white,0,1,1
24,attempt,purple,white,0,0,0
25,attempt,cloud,white,0,0,0
26,attempt,heart,white,0,0,0
27,attempt,yellow5,blue,1,1,0
28,attempt,triangle,white,0,0,0
29,attempt,blue,white,0,0,0
30,attempt,green3,white,0,0,0
31,attempt,grey2,white,0,0,0
32,attempt,diamond,white,0,0,0
33,attempt,orange4,white,1,1,0
