action_id,action_type,key,box,success,supposed_to_open,error
1,attempt,purple,purple,0,0,0
2,attempt,heart,purple,0,0,0
3,attempt,red,red,1,1,0
4,attempt,triangle,blue,0,0,0
5,attempt,pink,pink,0,0,0
6,attempt,orange4,white,1,1,0
7,attempt,cloud,pink,0,0,0
8,attempt,green3,purple,0,1,1
9,attempt,grey2,pink,1,1,0
10,attempt,green3,purple,0,1,1
11,attempt,blue,blue,0,0,0
12,attempt,green3,purple,0,1,1
13,attempt,green3,purple,0,1,1
14,attempt,yellow5,blue,1,1,0
15,attempt,green3,purple,0,1,1
16,attempt,purple,purple,0,0,0
17,attempt,green3,purple,0,1,1
18,attempt,green3,purple,0,1,1
19,attempt,green3,purple,1,1,0
