theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(5,1)",0.2,0.02,1,24,5,True,0.8745992849035547
"(5,1)",0.2,0.02,2,19,5,True,0.8366141732283464
"(5,1)",0.2,0.02,3,23,5,True,0.8493506493506494
"(5,1)",0.2,0.02,4,21,5,True,0.8846870701955089
"(5,1)",0.2,0.02,5,12,5,True,0.8842242469607414
"(5,1)",0.2,0.02,6,16,5,True,0.8962706494103818
"(5,1)",0.2,0.02,7,22,5,True,0.8433734939759036
"(5,1)",0.2,0.02,8,14,5,True,0.8730158730158729
"(5,1)",0.2,0.02,9,18,5,True,0.8676183835299307
"(5,1)",0.2,0.02,10,19,5,True,0.866097714539106
"(5,1)",0.2,0.02,11,23,5,True,0.8801261829652997
"(5,1)",0.2,0.02,12,17,5,True,0.8774379603495424
"(5,1)",0.2,0.02,13,12,5,True,0.8993506062336489
"(5,1)",0.2,0.02,14,13,5,True,0.8961038961038961
"(5,1)",0.2,0.02,15,17,5,True,0.8989385817532068
"(5,1)",0.2,0.02,16,21,5,True,0.8607909854818204
"(5,1)",0.2,0.02,17,25,5,True,0.8313520737110732
"(5,1)",0.2,0.02,18,13,5,True,0.8857000249563264
"(5,1)",0.2,0.02,19,19,5,True,0.8742138364779873
"(5,1)",0.2,0.02,20,18,5,True,0.8940178460490764
"(5,1)",0.2,0.02,21,27,5,True,0.8631485723787304
"(5,1)",0.2,0.02,22,19,5,True,0.8641975308641975
"(5,1)",0.2,0.02,23,22,5,True,0.850551835411014
"(5,1)",0.2,0.02,24,16,5,True,0.8998609179415855
"(5,1)",0.2,0.02,25,16,5,True,0.8775197614944887
"(5,1)",0.2,0.02,26,19,5,True,0.8667453001907591
"(5,1)",0.2,0.02,27,18,5,True,0.8906482609284071
"(5,1)",0.2,0.02,28,10,5,True,0.9038461538461539
"(5,1)",0.2,0.02,29,10,5,True,0.8993506493506493
"(5,1)",0.2,0.02,30,10,5,True,0.8994647428438446
"(5,1)",0.2,0.02,31,13,5,True,0.9022801302931596
"(5,1)",0.2,0.02,32,11,5,True,0.8961038961038961
"(5,1)",0.2,0.02,33,22,5,True,0.8584615384615385
"(5,1)",0.2,0.02,34,21,5,True,0.8512028122458616
"(5,1)",0.2,0.02,35,70,3,False,0.11428571428571424
"(5,1)",0.2,0.02,36,28,5,True,0.8659562736790237
"(5,1)",0.2,0.02,37,18,5,True,0.8994647428438446
"(5,1)",0.2,0.02,38,12,5,True,0.8974831184775937
"(5,1)",0.2,0.02,39,70,1,False,0.20152829907715933
"(5,1)",0.2,0.02,40,10,5,True,0.8922935966608979
"(5,1)",0.2,0.02,41,13,5,True,0.8930115896903651
"(5,1)",0.2,0.02,42,16,5,True,0.8887408383480259
