theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(5,1)",0.8,0.02,1,0.58,0.42,0.0,0.0,0.0,0.0
"(5,1)",0.8,0.02,2,0.42,0.49,0.09,0.0,0.0,0.0
"(5,1)",0.8,0.02,3,0.37,0.46,0.14,0.03,0.0,0.0
"(5,1)",0.8,0.02,4,0.35,0.41,0.21,0.03,0.0,0.0
"(5,1)",0.8,0.02,5,0.28,0.38,0.26,0.08,0.0,0.0
"(5,1)",0.8,0.02,6,0.23,0.38,0.28,0.1,0.01,0.0
"(5,1)",0.8,0.02,7,0.21,0.36,0.28,0.13,0.02,0.0
"(5,1)",0.8,0.02,8,0.19,0.34,0.27,0.17,0.02,0.01
"(5,1)",0.8,0.02,9,0.19,0.29,0.28,0.19,0.04,0.01
"(5,1)",0.8,0.02,10,0.15,0.31,0.26,0.17,0.1,0.01
"(5,1)",0.8,0.02,11,0.14,0.21,0.34,0.17,0.11,0.03
"(5,1)",0.8,0.02,12,0.13,0.2,0.32,0.19,0.11,0.05
"(5,1)",0.8,0.02,13,0.13,0.17,0.33,0.2,0.09,0.08
"(5,1)",0.8,0.02,14,0.12,0.18,0.29,0.21,0.11,0.09
"(5,1)",0.8,0.02,15,0.09,0.17,0.29,0.19,0.14,0.12
"(5,1)",0.8,0.02,16,0.09,0.16,0.27,0.19,0.13,0.16
"(5,1)",0.8,0.02,17,0.07,0.18,0.24,0.19,0.15,0.17
"(5,1)",0.8,0.02,18,0.06,0.19,0.2,0.19,0.13,0.23
"(5,1)",0.8,0.02,19,0.06,0.17,0.18,0.15,0.21,0.23
"(5,1)",0.8,0.02,20,0.06,0.17,0.15,0.15,0.18,0.29
"(5,1)",0.8,0.02,21,0.06,0.15,0.16,0.14,0.16,0.33
"(5,1)",0.8,0.02,22,0.05,0.16,0.13,0.16,0.16,0.34
"(5,1)",0.8,0.02,23,0.05,0.15,0.14,0.13,0.14,0.39
"(5,1)",0.8,0.02,24,0.05,0.14,0.15,0.1,0.1,0.46
"(5,1)",0.8,0.02,25,0.05,0.13,0.15,0.08,0.09,0.5
"(5,1)",0.8,0.02,26,0.05,0.13,0.15,0.05,0.1,0.52
"(5,1)",0.8,0.02,27,0.04,0.13,0.15,0.05,0.07,0.56
"(5,1)",0.8,0.02,28,0.04,0.13,0.12,0.07,0.07,0.57
"(5,1)",0.8,0.02,29,0.04,0.12,0.09,0.11,0.07,0.57
"(5,1)",0.8,0.02,30,0.04,0.12,0.08,0.08,0.1,0.58
"(5,1)",0.8,0.02,31,0.04,0.12,0.08,0.08,0.04,0.64
"(5,1)",0.8,0.02,32,0.04,0.11,0.09,0.08,0.02,0.66
"(5,1)",0.8,0.02,33,0.04,0.1,0.09,0.07,0.04,0.66
"(5,1)",0.8,0.02,34,0.04,0.09,0.08,0.07,0.06,0.66
"(5,1)",0.8,0.02,35,0.04,0.09,0.07,0.07,0.06,0.67
"(5,1)",0.8,0.02,36,0.04,0.08,0.08,0.06,0.06,0.68
"(5,1)",0.8,0.02,37,0.04,0.08,0.08,0.06,0.03,0.71
"(5,1)",0.8,0.02,38,0.04,0.07,0.07,0.07,0.04,0.71
"(5,1)",0.8,0.02,39,0.04,0.07,0.06,0.07,0.04,0.72
"(5,1)",0.8,0.02,40,0.04,0.07,0.05,0.08,0.04,0.72
"(5,1)",0.8,0.02,41,0.04,0.06,0.05,0.08,0.03,0.74
"(5,1)",0.8,0.02,42,0.04,0.06,0.05,0.05,0.06,0.74
"(5,1)",0.8,0.02,43,0.03,0.07,0.05,0.04,0.06,0.75
"(5,1)",0.8,0.02,44,0.03,0.07,0.04,0.04,0.05,0.77
"(5,1)",0.8,0.02,45,0.03,0.07,0.04,0.04,0.04,0.78
"(5,1)",0.8,0.02,46,0.03,0.06,0.03,0.06,0.03,0.79
"(5,1)",0.8,0.02,47,0.02,0.06,0.03,0.05,0.03,0.81
"(5,1)",0.8,0.02,48,0.02,0.06,0.03,0.04,0.03,0.82
"(5,1)",0.8,0.02,49,0.02,0.06,0.03,0.04,0.03,0.82
"(5,1)",0.8,0.02,50,0.02,0.06,0.02,0.05,0.02,0.83
"(5,1)",0.8,0.02,51,0.02,0.05,0.03,0.04,0.03,0.83
"(5,1)",0.8,0.02,52,0.02,0.05,0.03,0.03,0.04,0.83
"(5,1)",0.8,0.02,53,0.02,0.04,0.04,0.02,0.05,0.83
"(5,1)",0.8,0.02,54,0.02,0.04,0.04,0.02,0.05,0.83
"(5,1)",0.8,0.02,55,0.02,0.04,0.04,0.02,0.04,0.84
"(5,1)",0.8,0.02,56,0.02,0.03,0.05,0.01,0.05,0.84
"(5,1)",0.8,0.02,57,0.02,0.03,0.03,0.03,0.04,0.85
"(5,1)",0.8,0.02,58,0.02,0.03,0.03,0.01,0.04,0.87
"(5,1)",0.8,0.02,59,0.02,0.03,0.03,0.01,0.03,0.88
"(5,1)",0.8,0.02,60,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,61,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,62,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,63,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,64,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,65,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,66,0.02,0.03,0.03,0.01,0.02,0.89
"(5,1)",0.8,0.02,67,0.02,0.03,0.02,0.02,0.02,0.89
"(5,1)",0.8,0.02,68,0.02,0.03,0.02,0.02,0.02,0.89
"(5,1)",0.8,0.02,69,0.02,0.03,0.02,0.01,0.03,0.89
"(5,1)",0.8,0.02,70,0.02,0.03,0.02,0.01,0.03,0.89
