theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,3)",0.8,0.02,1,41,5,True,0.5595667870036101
"(1,3)",0.8,0.02,2,30,5,True,0.5717478323706203
"(1,3)",0.8,0.02,3,70,2,False,0.20949799717566797
"(1,3)",0.8,0.02,4,17,5,True,0.6245059288537549
"(1,3)",0.8,0.02,5,14,5,True,0.6071815860356107
"(1,3)",0.8,0.02,6,31,5,True,0.5270534564192362
"(1,3)",0.8,0.02,7,70,0,False,0.07972009133320745
"(1,3)",0.8,0.02,8,47,5,True,0.5112752865939036
"(1,3)",0.8,0.02,9,70,0,False,0.0833318801339379
"(1,3)",0.8,0.02,10,15,5,True,0.5950484297939521
"(1,3)",0.8,0.02,11,6,5,True,0.6268873727770943
"(1,3)",0.8,0.02,12,70,1,False,0.17599457371538785
"(1,3)",0.8,0.02,13,43,5,True,0.5372976010680134
"(1,3)",0.8,0.02,14,18,5,True,0.6202583994871863
"(1,3)",0.8,0.02,15,20,5,True,0.616600790513834
"(1,3)",0.8,0.02,16,70,1,False,0.14393355859474316
"(1,3)",0.8,0.02,17,19,5,True,0.5767089866883462
"(1,3)",0.8,0.02,18,70,2,False,0.23236696134232523
"(1,3)",0.8,0.02,19,70,3,False,0.3404016500123908
"(1,3)",0.8,0.02,20,28,5,True,0.5662698234254702
"(1,3)",0.8,0.02,21,21,5,True,0.6002624101697045
"(1,3)",0.8,0.02,22,9,5,True,0.6326530612244897
"(1,3)",0.8,0.02,23,57,5,True,0.5032258064516129
"(1,3)",0.8,0.02,24,39,5,True,0.5660697088524385
"(1,3)",0.8,0.02,25,70,0,False,0.0749727096335342
"(1,3)",0.8,0.02,26,29,5,True,0.579731216096201
"(1,3)",0.8,0.02,27,29,5,True,0.5613902028233202
"(1,3)",0.8,0.02,28,70,0,False,0.07430643313033414
"(1,3)",0.8,0.02,29,38,5,True,0.5660179154631633
"(1,3)",0.8,0.02,30,31,5,True,0.5561251300028356
"(1,3)",0.8,0.02,31,70,1,False,0.14824096894004196
"(1,3)",0.8,0.02,32,70,4,False,0.3155304692223983
"(1,3)",0.8,0.02,33,70,1,False,0.1412859801081577
"(1,3)",0.8,0.02,34,70,2,False,0.4285714285714285
"(1,3)",0.8,0.02,35,69,5,True,0.5311837447984353
"(1,3)",0.8,0.02,36,57,5,True,0.5201842597433448
"(1,3)",0.8,0.02,37,23,5,True,0.5845312491516904
"(1,3)",0.8,0.02,38,24,5,True,0.6045531761945416
"(1,3)",0.8,0.02,39,70,2,False,0.22008294134159692
"(1,3)",0.8,0.02,40,70,3,False,0.3531930356633004
"(1,3)",0.8,0.02,41,22,5,True,0.5750137653383646
"(1,3)",0.8,0.02,42,70,0,False,0.07284380425037495
"(1,3)",0.8,0.02,43,33,5,True,0.5803292694136065
"(1,3)",0.8,0.02,44,32,5,True,0.5740312729279298
"(1,3)",0.8,0.02,45,40,5,True,0.5689327763007975
"(1,3)",0.8,0.02,46,25,5,True,0.5921831205232014
"(1,3)",0.8,0.02,47,70,1,False,0.15248480564319572
"(1,3)",0.8,0.02,48,41,5,True,0.5772058823529412
"(1,3)",0.8,0.02,49,36,5,True,0.5217226284760001
"(1,3)",0.8,0.02,50,70,2,False,0.23574880077466695
"(1,3)",0.8,0.02,51,39,5,True,0.4928881888992865
"(1,3)",0.8,0.02,52,68,5,True,0.48233114424482865
"(1,3)",0.8,0.02,53,30,5,True,0.5614020861304799
"(1,3)",0.8,0.02,54,44,5,True,0.6117216117216115
"(1,3)",0.8,0.02,55,70,3,False,0.29291203016471046
"(1,3)",0.8,0.02,56,21,5,True,0.5919761369585063
"(1,3)",0.8,0.02,57,62,5,True,0.5769182323884778
"(1,3)",0.8,0.02,58,28,5,True,0.5554645965440372
