theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(2,1)",0.6,0.02,1,0.6,0.4,0.0,0.0,0.0,0.0
"(2,1)",0.6,0.02,2,0.32,0.68,0.0,0.0,0.0,0.0
"(2,1)",0.6,0.02,3,0.18,0.74,0.08,0.0,0.0,0.0
"(2,1)",0.6,0.02,4,0.16,0.66,0.17,0.01,0.0,0.0
"(2,1)",0.6,0.02,5,0.11,0.61,0.25,0.03,0.0,0.0
"(2,1)",0.6,0.02,6,0.1,0.52,0.33,0.05,0.0,0.0
"(2,1)",0.6,0.02,7,0.08,0.49,0.31,0.12,0.0,0.0
"(2,1)",0.6,0.02,8,0.07,0.4,0.35,0.16,0.02,0.0
"(2,1)",0.6,0.02,9,0.06,0.35,0.39,0.13,0.07,0.0
"(2,1)",0.6,0.02,10,0.06,0.32,0.38,0.16,0.08,0.0
"(2,1)",0.6,0.02,11,0.05,0.29,0.37,0.18,0.06,0.05
"(2,1)",0.6,0.02,12,0.05,0.25,0.36,0.22,0.06,0.06
"(2,1)",0.6,0.02,13,0.05,0.24,0.35,0.23,0.06,0.07
"(2,1)",0.6,0.02,14,0.04,0.23,0.32,0.25,0.09,0.07
"(2,1)",0.6,0.02,15,0.04,0.23,0.27,0.26,0.11,0.09
"(2,1)",0.6,0.02,16,0.04,0.21,0.26,0.27,0.11,0.11
"(2,1)",0.6,0.02,17,0.04,0.21,0.25,0.21,0.15,0.14
"(2,1)",0.6,0.02,18,0.04,0.2,0.21,0.23,0.15,0.17
"(2,1)",0.6,0.02,19,0.04,0.19,0.2,0.21,0.17,0.19
"(2,1)",0.6,0.02,20,0.04,0.16,0.22,0.21,0.13,0.24
"(2,1)",0.6,0.02,21,0.04,0.16,0.22,0.16,0.17,0.25
"(2,1)",0.6,0.02,22,0.04,0.15,0.23,0.11,0.18,0.29
"(2,1)",0.6,0.02,23,0.04,0.13,0.22,0.13,0.14,0.34
"(2,1)",0.6,0.02,24,0.04,0.11,0.23,0.13,0.13,0.36
"(2,1)",0.6,0.02,25,0.03,0.12,0.22,0.13,0.11,0.39
"(2,1)",0.6,0.02,26,0.03,0.12,0.21,0.12,0.09,0.43
"(2,1)",0.6,0.02,27,0.03,0.11,0.2,0.14,0.07,0.45
"(2,1)",0.6,0.02,28,0.03,0.11,0.19,0.15,0.06,0.46
"(2,1)",0.6,0.02,29,0.03,0.11,0.19,0.11,0.09,0.47
"(2,1)",0.6,0.02,30,0.03,0.11,0.18,0.12,0.04,0.52
"(2,1)",0.6,0.02,31,0.03,0.11,0.18,0.11,0.05,0.52
"(2,1)",0.6,0.02,32,0.03,0.1,0.17,0.12,0.05,0.53
"(2,1)",0.6,0.02,33,0.03,0.09,0.18,0.09,0.06,0.55
"(2,1)",0.6,0.02,34,0.03,0.09,0.15,0.12,0.05,0.56
"(2,1)",0.6,0.02,35,0.03,0.09,0.15,0.11,0.05,0.57
"(2,1)",0.6,0.02,36,0.03,0.09,0.12,0.12,0.05,0.59
"(2,1)",0.6,0.02,37,0.03,0.09,0.11,0.12,0.05,0.6
"(2,1)",0.6,0.02,38,0.03,0.09,0.1,0.11,0.06,0.61
"(2,1)",0.6,0.02,39,0.03,0.09,0.09,0.09,0.08,0.62
"(2,1)",0.6,0.02,40,0.03,0.08,0.1,0.08,0.05,0.66
"(2,1)",0.6,0.02,41,0.03,0.08,0.09,0.08,0.04,0.68
"(2,1)",0.6,0.02,42,0.03,0.08,0.09,0.07,0.05,0.68
"(2,1)",0.6,0.02,43,0.03,0.08,0.09,0.07,0.04,0.69
"(2,1)",0.6,0.02,44,0.03,0.08,0.09,0.07,0.04,0.69
"(2,1)",0.6,0.02,45,0.03,0.08,0.09,0.06,0.05,0.69
"(2,1)",0.6,0.02,46,0.02,0.09,0.09,0.06,0.03,0.71
"(2,1)",0.6,0.02,47,0.02,0.09,0.09,0.06,0.01,0.73
"(2,1)",0.6,0.02,48,0.02,0.09,0.09,0.06,0.01,0.73
"(2,1)",0.6,0.02,49,0.02,0.09,0.09,0.06,0.01,0.73
"(2,1)",0.6,0.02,50,0.02,0.08,0.1,0.05,0.01,0.74
"(2,1)",0.6,0.02,51,0.02,0.08,0.1,0.04,0.02,0.74
"(2,1)",0.6,0.02,52,0.02,0.08,0.1,0.03,0.03,0.74
"(2,1)",0.6,0.02,53,0.02,0.08,0.1,0.03,0.03,0.74
"(2,1)",0.6,0.02,54,0.02,0.07,0.11,0.03,0.03,0.74
"(2,1)",0.6,0.02,55,0.02,0.07,0.11,0.03,0.02,0.75
"(2,1)",0.6,0.02,56,0.02,0.07,0.11,0.03,0.0,0.77
"(2,1)",0.6,0.02,57,0.02,0.07,0.11,0.03,0.0,0.77
"(2,1)",0.6,0.02,58,0.02,0.07,0.09,0.05,0.0,0.77
"(2,1)",0.6,0.02,59,0.02,0.07,0.09,0.04,0.01,0.77
"(2,1)",0.6,0.02,60,0.02,0.07,0.08,0.05,0.01,0.77
"(2,1)",0.6,0.02,61,0.02,0.07,0.08,0.04,0.02,0.77
"(2,1)",0.6,0.02,62,0.02,0.07,0.07,0.04,0.02,0.78
"(2,1)",0.6,0.02,63,0.02,0.07,0.07,0.04,0.01,0.79
"(2,1)",0.6,0.02,64,0.02,0.07,0.07,0.04,0.0,0.8
"(2,1)",0.6,0.02,65,0.02,0.07,0.07,0.04,0.0,0.8
"(2,1)",0.6,0.02,66,0.02,0.07,0.07,0.04,0.0,0.8
"(2,1)",0.6,0.02,67,0.02,0.06,0.08,0.04,0.0,0.8
"(2,1)",0.6,0.02,68,0.02,0.06,0.08,0.04,0.0,0.8
"(2,1)",0.6,0.02,69,0.02,0.06,0.07,0.05,0.0,0.8
"(2,1)",0.6,0.02,70,0.02,0.06,0.07,0.05,0.0,0.8
